congress,id,state_abbrev,cd,state,party_code,name,dim.a,dim.b,log.likelihood,num.votes,num.errors,mean.prop
5,800,47,0,NORTH C,200,BLOODWORTH,-0.391,0.067,-19.91389,133,9,0.861
5,6012,47,0,NORTH C,200,MARTIN,-0.19,-0.839,-42.07578,192,24,0.803
5,8070,14,0,PENNSYL,1,ROSS,0.93,-0.368,-17.96228,97,9,0.831
5,719,14,0,PENNSYL,1,BINGHAM,0.832,-0.554,-69.67767,176,20,0.673
5,3315,5,0,RHODE I,1,FOSTER,0.182,0.68,-42.1857,183,20,0.794
5,951,5,0,RHODE I,1,BRADFORD,0.305,0.399,-9.41963,26,5,0.696
5,3791,5,0,RHODE I,1,GREENE,0.378,0.414,-29.83252,112,16,0.766
5,7763,48,0,SOUTH C,1,READ,0.834,-0.463,-52.26936,186,29,0.755
5,4753,48,0,SOUTH C,200,HUNTER,0.068,-0.957,-6.71641,81,4,0.92
5,1888,54,0,TENNESS,200,COCKE,-0.604,-0.111,-1.12434,26,0,0.958
5,4843,54,0,TENNESS,200,JACKSON,-0.679,0.174,-3.32851,35,2,0.909
5,174,54,0,TENNESS,200,ANDERSON,-0.479,0.459,-17.05471,129,7,0.876
5,7164,6,0,VERMONT,1,PAINE,0.258,0.696,-33.88478,167,14,0.816
5,1706,6,0,VERMONT,1,CHIPMAN,0.487,0.395,-20.91912,153,6,0.872
5,9238,40,0,VIRGINI,200,TAZEWELL,-0.726,-0.677,-35.49767,150,11,0.789
5,6063,40,0,VIRGINI,200,MASON,-0.795,-0.44,-17.36367,159,7,0.897
6,9452,1,0,CONNECT,1,TRACY,0.664,0.347,-10.46471,114,4,0.912
6,4433,1,0,CONNECT,1,HILLHOUSE,0.343,0.367,-45.10243,111,24,0.666
6,9947,11,0,DELAWAR,1,WELLS,0.79,0.225,-21.85245,102,3,0.807
6,5494,11,0,DELAWAR,1,LATIMER,0.698,0.072,-10.76262,100,5,0.898
6,3877,44,0,GEORGIA,1,GUNN,0.591,-0.372,-20.31709,71,10,0.751
6,379,44,0,GEORGIA,200,BALDWIN,-0.355,-0.569,-9.55678,111,4,0.918
6,6000,51,0,KENTUCK,1,MARSHALL,-0.296,0.955,-28.8724,104,17,0.758
6,1118,51,0,KENTUCK,200,BROWN,-0.283,-0.818,-14.93709,106,8,0.869
6,4628,52,0,MARYLAN,1,HOWARD,0.443,0.493,-8.68976,61,3,0.867
6,5725,52,0,MARYLAN,1,LLOYD,0.333,0.943,-11.55998,56,5,0.813
6,4441,52,0,MARYLAN,1,HINDMAN,0.679,0.148,-2.44452,28,1,0.916
6,2550,3,0,MASSACH,1,DEXTER,0.26,0.731,-7.9908,56,2,0.867
6,3674,3,0,MASSACH,1,GOODHUE,0.302,0.571,-22.19962,71,13,0.731
6,3303,3,0,MASSACH,1,FOSTER  D.,0.563,-0.785,-6.50273,33,5,0.821
6,6058,3,0,MASSACH,1,MASON,0.714,-0.294,-2.6221,35,0,0.928
6,5713,4,0,NEW HAM,1,LIVERMORE,0.109,0.994,-35.79818,112,15,0.726
6,5449,4,0,NEW HAM,200,LANGDON,-0.424,-0.147,-30.00486,106,10,0.753
6,2440,12,0,NEW JER,1,DAYTON,0.445,0.417,-11.38723,96,5,0.888
6,8278,12,0,NEW JER,1,SCHUREMAN,0.5,0.249,-13.56064,93,7,0.864
6,5498,13,0,NEW YOR,1,LAURANCE,0.87,-0.494,-23.81124,67,3,0.701
6,6703,13,0,NEW YOR,1,MORRIS,0.733,-0.396,-3.17845,45,0,0.932
6,233,13,0,NEW YOR,200,ARMSTRONG,-0.024,-0.615,-5.85079,28,4,0.811
6,800,47,0,NORTH C,200,BLOODWORTH,-0.384,-0.203,-9.46614,111,3,0.918
6,3342,47,0,NORTH C,200,FRANKLIN,-0.186,-0.234,-8.24567,115,3,0.931
6,8070,14,0,PENNSYL,1,ROSS,0.864,-0.169,-16.31307,110,8,0.862
6,719,14,0,PENNSYL,1,BINGHAM,0.73,-0.522,-12.80533,93,3,0.871
6,3315,5,0,RHODE I,1,FOSTER  T.,0.121,0.566,-27.74451,110,10,0.777
6,3791,5,0,RHODE I,1,GREENE,0.232,0.691,-25.86503,108,9,0.787
6,7455,48,0,SOUTH C,200,PINCKNEY,-0.476,-0.826,-4.60883,64,1,0.931
6,7763,48,0,SOUTH C,1,READ,0.983,-0.184,-18.09637,110,7,0.848
6,1888,54,0,TENNESS,200,COCKE,-0.546,0.13,-12.53274,116,4,0.898
6,174,54,0,TENNESS,200,ANDERSON,-0.346,0.489,-16.31421,110,8,0.862
6,7164,6,0,VERMONT,1,PAINE,0.322,0.692,-12.60342,87,6,0.865
6,1706,6,0,VERMONT,1,CHIPMAN,0.424,0.598,-11.15638,92,6,0.886
6,6913,40,0,VIRGINI,200,NICHOLAS,-0.343,-0.76,-7.9557,112,4,0.931
6,6063,40,0,VIRGINI,200,MASON,-0.523,-0.288,-6.11262,106,2,0.944
7,9452,1,0,CONNECT,1,TRACY  U.,0.657,0.093,-2.56114,61,1,0.959
7,4433,1,0,CONNECT,1,HILLHOUSE J,0.807,0.224,-1.45249,40,0,0.964
7,10043,11,0,DELAWAR,1,WHITE  S.,0.453,0.434,-7.44156,65,4,0.892
7,9947,11,0,DELAWAR,1,WELLS  W.H.,0.813,0.211,-5.38332,69,3,0.925
7,379,44,0,GEORGIA,200,BALDWIN  A.,-0.572,-0.659,-6.89216,77,5,0.914
7,4854,44,0,GEORGIA,200,JACKSON  J.,-0.387,-0.604,-11.06836,71,6,0.856
7,1118,51,0,KENTUCK,200,BROWN  J.,-0.042,-0.238,-7.01977,49,3,0.867
7,994,51,0,KENTUCK,200,BRECKENRIDG,-0.403,0.005,-3.34937,73,1,0.955
7,4628,52,0,MARYLAN,1,HOWARD J.E.,0.569,-0.069,-3.26742,70,1,0.954
7,10396,52,0,MARYLAN,200,WRIGHT  R.,-0.025,0.925,-7.73267,67,2,0.891
7,3303,3,0,MASSACH,1,FOSTER  D.,0.69,-0.541,-4.36929,64,1,0.934
7,6058,3,0,MASSACH,1,MASON  J.,0.382,0.016,-4.11224,55,2,0.928
7,7048,4,0,NEW HAM,1,OLCOTT  S.,0.645,-0.457,-12.23564,76,6,0.851
7,2440,12,0,NEW JER,1,DAYTON  J.,0.464,0.4,-6.31989,56,3,0.893
7,7029,12,0,NEW JER,1,OGDEN  A.,0.621,0.134,-1.96447,57,1,0.966
7,6703,13,0,NEW YOR,1,MORRIS  G.,0.66,-0.44,-9.74081,66,7,0.863
7,1847,13,0,NEW YOR,200,CLINTON D.W,-0.357,-0.398,-5.01806,55,4,0.913
7,8977,47,0,NORTH C,200,STONE  D.,-0.34,-0.941,-8.94781,66,3,0.873
7,3342,47,0,NORTH C,200,FRANKLIN J.,-0.172,0.301,-5.85563,63,5,0.911
7,8070,14,0,PENNSYL,1,ROSS  J.,0.406,-0.391,-0.69085,31,0,0.978
7,5744,14,0,PENNSYL,200,LOGAN  G.,-0.31,-0.689,-9.30278,69,3,0.874
7,3315,5,0,RHODE I,200,FOSTER  T.,0.063,0.514,-8.51687,71,4,0.887
7,2903,5,0,RHODE I,200,ELLERY  C.,-0.381,-0.451,-6.62724,73,2,0.913
7,9088,48,0,SOUTH C,200,SUMTER  T.,-0.524,-0.555,-5.51774,74,2,0.928
7,1888,54,0,TENNESS,200,COCKE  W.,-0.528,0.21,-4.66698,66,2,0.932
7,174,54,0,TENNESS,200,ANDERSON J.,-0.342,0.475,-8.35373,73,4,0.892
7,956,6,0,VERMONT,200,BRADLEY S.R,-0.13,-0.576,-12.17267,60,5,0.816
7,6913,40,0,VIRGINI,200,NICHOLAS  W,-0.246,-0.324,-18.41695,73,12,0.777
7,6063,40,0,VIRGINI,200,MASON  S.T.,-0.404,-0.078,-3.08632,66,1,0.954
8,9452,1,0,CONNECT,1,TRACY  U.,0.715,0.189,-20.2178,101,10,0.819
8,4433,1,0,CONNECT,1,HILLHOUSE,0.829,-0.508,-19.67073,128,8,0.858
8,10043,11,0,DELAWAR,1,WHITE  S.,0.572,0.155,-24.05049,96,10,0.778
8,9947,11,0,DELAWAR,1,WELLS  W.H.,0.664,0.464,-18.9025,52,9,0.695
8,524,11,0,DELAWAR,1,BAYARD  J.,0.668,0.002,-1.855,26,1,0.931
8,379,44,0,GEORGIA,200,BALDWIN  A.,-0.396,-0.762,-44.8467,136,23,0.719
8,4854,44,0,GEORGIA,200,JACKSON  J.,-0.345,-0.325,-54.87491,121,19,0.635
8,994,51,0,KENTUCK,200,BRECKINRIDG,-0.616,-0.137,-25.36255,134,11,0.828
8,1118,51,0,KENTUCK,200,BROWN  J.,-0.257,-0.293,-26.39339,98,10,0.764
8,8678,52,0,MARYLAN,200,SMITH  S.,-0.097,0.494,-39.15577,130,18,0.74
8,10396,52,0,MARYLAN,200,WRIGHT  R.,0.037,0.999,-24.59431,115,12,0.807
8,7428,3,0,MASSACH,1,PICKERING,0.549,-0.719,-24.62621,129,11,0.826
8,34,3,0,MASSACH,1,ADAMS  J.Q.,0.737,0.572,-49.56961,130,26,0.683
8,7493,4,0,NEW HAM,1,PLUMER  W.,0.982,-0.188,-26.7761,133,13,0.818
8,7048,4,0,NEW HAM,1,OLCOTT  S.,0.753,-0.518,-21.07756,133,9,0.853
8,2440,12,0,NEW JER,1,DAYTON  J.,0.405,0.548,-35.56965,116,20,0.736
8,1974,12,0,NEW JER,200,CONDIT  J.,-0.477,0.18,-36.25883,101,23,0.698
8,351,13,0,NEW YOR,200,BAILEY  T.,-0.038,0.601,-5.29787,29,2,0.833
8,8647,13,0,NEW YOR,200,SMITH  J.,-0.217,-0.512,-19.27432,69,7,0.756
8,6577,13,0,NEW YOR,200,MITCHILL,0.039,0.819,-8.561,25,6,0.71
8,233,13,0,NEW YOR,200,ARMSTRONG,-0.263,-0.149,-22.46458,62,12,0.696
8,3342,47,0,NORTH C,200,FRANKLIN,-0.13,-0.285,-8.67109,44,5,0.821
