"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"4563","21","2018-01-20","home","Penn State","W","70","61","28","65",".431","5","19",".263","9","14",".643","13","27","16","5","2","6","17","22","43",".512","7","19",".368","10","12",".833","6","24","11","1","6","14","18","northwestern"
"4564","22","2018-01-23","away","Minnesota","W","77","69","27","56",".482","5","17",".294","18","23",".783","10","35","15","6","7","10","17","25","59",".424","9","24",".375","10","16",".625","10","29","19","8","1","11","15","northwestern"
"4565","1","2017-11-11","away","DePaul","W","72","58","25","53",".472","12","27",".444","10","16",".625","6","37","10","1","3","8","15","22","65",".338","5","22",".227","9","16",".563","10","31","9","4","2","4","12","notre dame"
"4566","2","2017-11-13","home","Mount St. Mary's","W","88","62","33","63",".524","4","12",".333","18","19",".947","11","37","17","8","6","5","9","24","61",".393","11","35",".314","3","4",".750","7","27","11","4","1","11","14","notre dame"
"4567","3","2017-11-16","home","Chicago State","W","105","66","36","58",".621","10","22",".455","23","30",".767","12","37","18","9","8","12","18","22","61",".361","6","16",".375","16","21",".762","11","21","13","9","2","15","21","notre dame"
"4568","4","2017-11-20","neutral","Chaminade","W","83","56","28","52",".538","9","20",".450","18","26",".692","4","33","15","7","6","10","12","24","68",".353","7","29",".241","1","4",".250","11","35","9","4","3","12","18","notre dame"
"4569","5","2017-11-21","neutral","LSU","W","92","53","33","64",".516","15","32",".469","11","17",".647","12","34","18","12","2","5","10","19","52",".365","6","23",".261","9","12",".750","10","31","9","2","4","17","15","notre dame"
"4570","6","2017-11-22","neutral","Wichita State","W","67","66","25","51",".490","4","12",".333","13","17",".765","7","28","13","5","5","9","14","27","59",".458","8","23",".348","4","5",".800","9","27","17","3","4","10","15","notre dame"
"4571","7","2017-11-30","away","Michigan State","L","63","81","24","54",".444","8","18",".444","7","10",".700","3","18","16","8","6","10","15","31","60",".517","9","21",".429","10","14",".714","13","39","21","4","6","13","14","notre dame"
"4572","8","2017-12-03","home","St. Francis (NY)","W","71","53","24","58",".414","3","14",".214","20","29",".690","13","41","10","9","6","10","10","19","60",".317","6","23",".261","9","12",".750","12","37","10","2","3","15","21","notre dame"
"4573","9","2017-12-05","home","Ball State","L","77","80","26","54",".481","6","17",".353","19","26",".731","4","24","16","9","2","10","13","29","63",".460","8","24",".333","14","16",".875","12","36","12","4","3","14","21","notre dame"
"4574","10","2017-12-09","away","Delaware","W","92","68","33","58",".569","13","23",".565","13","14",".929","5","35","14","3","3","7","14","25","64",".391","9","22",".409","9","13",".692","10","29","16","5","0","7","9","notre dame"
"4575","11","2017-12-16","neutral","Indiana","L (1 OT)","77","80","25","61",".410","8","24",".333","19","26",".731","8","29","14","6","2","9","21","27","55",".491","8","21",".381","18","25",".720","9","40","16","1","5","14","23","notre dame"
"4576","12","2017-12-19","home","Dartmouth","W","97","87","34","59",".576","8","20",".400","21","24",".875","8","35","15","10","3","15","10","32","63",".508","15","32",".469","8","10",".800","5","24","24","11","1","16","20","notre dame"
"4577","13","2017-12-21","home","Southeastern Louisiana","W","86","50","30","69",".435","7","26",".269","19","22",".864","10","47","11","9","10","6","8","20","67",".299","5","20",".250","5","12",".417","11","40","15","4","2","16","11","notre dame"
"4578","14","2017-12-30","home","Georgia Tech","W","68","59","23","60",".383","7","20",".350","15","18",".833","11","42","15","5","3","10","14","23","60",".383","6","20",".300","7","18",".389","9","33","10","9","6","7","14","notre dame"
"4579","15","2018-01-03","home","North Carolina State","W","88","58","29","56",".518","11","25",".440","19","25",".760","10","41","20","9","5","12","14","22","60",".367","6","18",".333","8","15",".533","11","28","12","8","1","15","21","notre dame"
"4580","16","2018-01-06","away","Syracuse","W","51","49","17","56",".304","5","21",".238","12","16",".750","17","38","9","7","1","12","9","18","46",".391","8","18",".444","5","6",".833","8","26","9","6","7","13","15","notre dame"
"4581","17","2018-01-10","away","Georgia Tech","L","53","60","21","59",".356","4","18",".222","7","12",".583","9","33","16","8","2","10","10","25","59",".424","5","12",".417","5","6",".833","7","34","13","7","6","13","10","notre dame"
"4582","18","2018-01-13","home","UNC","L","68","69","23","66",".348","10","24",".417","12","15",".800","23","40","13","1","4","11","16","26","61",".426","6","21",".286","11","17",".647","12","35","16","7","4","7","16","notre dame"
"4583","19","2018-01-16","home","Louisville","L (2 OT)","78","82","30","79",".380","11","38",".289","7","11",".636","23","44","17","9","3","16","15","30","61",".492","7","20",".350","15","17",".882","10","33","14","6","4","16","12","notre dame"
"4584","20","2018-01-20","away","Clemson","L","58","67","24","62",".387","8","31",".258","2","2","1.000","9","36","12","1","3","11","17","23","52",".442","9","23",".391","12","15",".800","5","31","12","5","7","9","10","notre dame"
"4585","1","2017-11-10","home","IPFW","W","85","71","27","54",".500","9","25",".360","22","28",".786","7","37","16","8","7","18","14","26","68",".382","5","17",".294","14","17",".824","11","34","12","7","1","14","24","oakland"
"4586","2","2017-11-13","home","New Orleans","W","87","68","33","58",".569","14","25",".560","7","11",".636","6","31","23","4","6","14","20","27","60",".450","3","8",".375","11","20",".550","8","25","21","9","4","10","20","oakland"
"4587","3","2017-11-18","away","Toledo","L","74","87","26","69",".377","7","25",".280","15","20",".750","11","38","13","3","1","9","20","33","68",".485","4","21",".190","17","22",".773","11","42","13","1","6","8","17","oakland"
"4588","4","2017-11-20","away","Syracuse","L","50","74","18","59",".305","6","22",".273","8","11",".727","8","28","12","5","3","17","18","31","64",".484","3","8",".375","9","18",".500","10","42","13","12","15","14","17","oakland"
"4589","5","2017-11-24","away","Kansas","L","59","102","23","70",".329","6","30",".200","7","7","1.000","7","29","10","6","4","20","18","39","70",".557","6","16",".375","18","23",".783","9","44","14","14","9","12","11","oakland"
"4590","6","2017-11-27","away","Oral Roberts","W (1 OT)","93","86","33","68",".485","10","24",".417","17","28",".607","14","44","21","3","2","10","18","33","72",".458","10","22",".455","10","14",".714","8","33","18","6","9","11","24","oakland"
"4591","7","2017-11-30","home","Texas Southern","W","97","87","34","67",".507","7","20",".350","22","26",".846","7","36","26","8","8","8","14","33","71",".465","7","22",".318","14","17",".824","8","33","13","4","8","14","21","oakland"
"4592","8","2017-12-02","away","Western Michigan","W","78","73","27","59",".458","14","24",".583","10","12",".833","9","36","17","6","3","14","15","29","62",".468","6","16",".375","9","12",".750","8","29","11","10","4","10","14","oakland"
"4593","9","2017-12-06","away","Eastern Michigan","L","89","95","31","70",".443","11","30",".367","16","24",".667","13","33","17","6","7","15","24","35","62",".565","6","19",".316","19","30",".633","10","38","16","12","7","14","19","oakland"
"4594","10","2017-12-09","home","Chicago State","W","82","50","26","58",".448","4","23",".174","26","34",".765","10","45","17","8","9","12","15","16","59",".271","4","17",".235","14","17",".824","4","26","8","5","4","13","24","oakland"
"4595","11","2017-12-16","neutral","Michigan State","L","73","86","22","60",".367","10","26",".385","19","23",".826","6","24","15","11","3","13","22","31","59",".525","9","22",".409","15","23",".652","14","42","18","7","5","17","16","oakland"
"4596","12","2017-12-20","home","Towson","W","97","86","28","52",".538","11","24",".458","30","36",".833","5","31","22","6","6","17","17","33","70",".471","9","17",".529","11","18",".611","8","27","16","10","4","12","24","oakland"
"4597","13","2017-12-22","home","Eastern Michigan","W","86","81","28","55",".509","9","25",".360","21","23",".913","10","33","21","5","2","15","15","34","69",".493","5","16",".313","8","10",".800","11","27","15","8","5","13","19","oakland"
"4598","14","2017-12-28","away","Milwaukee","W","76","68","26","57",".456","5","18",".278","19","22",".864","3","34","16","5","9","12","13","27","70",".386","6","19",".316","8","11",".727","11","39","14","6","4","12","15","oakland"
"4599","15","2017-12-30","away","Green Bay","L","79","80","29","70",".414","12","33",".364","9","11",".818","13","37","16","6","8","9","16","27","62",".435","11","21",".524","15","17",".882","9","35","19","5","4","12","15","oakland"
"4600","16","2018-01-05","home","Northern Kentucky","L","83","87","28","53",".528","8","20",".400","19","28",".679","3","21","22","7","7","9","17","32","61",".525","7","19",".368","16","21",".762","9","34","11","6","4","10","23","oakland"
"4601","17","2018-01-07","home","Wright State","L (1 OT)","81","86","25","70",".357","10","27",".370","21","27",".778","15","37","19","11","5","15","22","29","61",".475","7","18",".389","21","26",".808","11","39","21","11","7","19","22","oakland"
"4602","18","2018-01-10","home","Youngstown State","W","95","82","34","54",".630","12","24",".500","15","18",".833","6","31","27","5","6","12","14","29","60",".483","12","18",".667","12","19",".632","9","26","11","8","0","12","22","oakland"
"4603","19","2018-01-12","home","Cleveland State","W","81","68","30","56",".536","8","19",".421","13","17",".765","4","33","25","5","3","11","13","22","61",".361","8","27",".296","16","20",".800","11","33","15","9","1","10","15","oakland"
"4604","20","2018-01-15","away","UIC","W","78","68","27","55",".491","11","27",".407","13","18",".722","8","33","16","7","4","14","16","26","61",".426","5","18",".278","11","14",".786","9","30","15","8","2","12","21","oakland"
"4605","21","2018-01-20","away","Detroit","W","92","86","31","61",".508","11","26",".423","19","27",".704","8","33","16","6","5","11","13","33","63",".524","11","28",".393","9","12",".750","2","26","13","8","2","10","19","oakland"
"4606","22","2018-01-26","away","Northern Kentucky","W","83","70","29","56",".518","9","21",".429","16","24",".667","4","31","16","4","2","12","14","27","65",".415","6","25",".240","10","15",".667","7","31","14","6","3","11","18","oakland"
"4607","1","2017-11-11","home","Alabama A&M","W","61","53","24","65",".369","5","21",".238","8","13",".615","4","33","11","9","6","15","13","21","62",".339","4","19",".211","7","8",".875","8","42","5","4","1","22","17","ohio"
"4608","2","2017-11-16","neutral","Clemson","L","76","81","28","61",".459","10","26",".385","10","11",".909","4","27","15","4","1","11","21","26","53",".491","6","17",".353","23","28",".821","5","32","14","7","2","11","17","ohio"
"4609","3","2017-11-17","neutral","Dayton","L","65","79","26","54",".481","6","16",".375","7","17",".412","5","26","13","5","1","13","16","28","62",".452","10","29",".345","13","15",".867","11","39","15","6","3","12","20","ohio"
"4610","4","2017-11-19","neutral","Indiana State","W (4 OT)","96","94","34","82",".415","11","33",".333","17","20",".850","7","46","15","7","3","18","27","28","79",".354","9","26",".346","29","38",".763","10","50","13","7","9","18","21","ohio"
"4611","5","2017-11-24","home","Mount St. Mary's","W","96","77","39","71",".549","9","24",".375","9","10",".900","7","31","19","8","1","5","9","31","62",".500","11","32",".344","4","4","1.000","4","24","15","1","3","13","12","ohio"
"4612","6","2017-11-28","home","Iona","L","88","93","33","65",".508","13","28",".464","9","15",".600","6","31","20","3","5","11","14","33","71",".465","14","35",".400","13","13","1.000","9","38","18","2","4","9","16","ohio"
"4613","7","2017-12-01","home","Coppin State","W","80","37","29","69",".420","8","20",".400","14","18",".778","12","48","16","11","3","10","8","13","61",".213","3","25",".120","8","11",".727","8","34","5","2","7","15","16","ohio"
"4614","8","2017-12-07","away","Maryland","L","62","87","21","60",".350","5","20",".250","15","22",".682","6","28","9","10","3","15","18","32","66",".485","9","26",".346","14","16",".875","11","45","16","7","8","19","19","ohio"
"4615","9","2017-12-10","home","Western Kentucky","W","89","84","26","56",".464","6","19",".316","31","35",".886","5","34","12","7","1","13","19","32","68",".471","5","18",".278","15","24",".625","10","32","10","8","2","10","25","ohio"
"4616","10","2017-12-16","away","Marshall","L (1 OT)","96","99","36","83",".434","10","30",".333","14","18",".778","11","39","14","8","1","13","21","31","64",".484","10","30",".333","27","31",".871","3","37","22","7","12","16","18","ohio"
"4617","11","2017-12-20","home","Prairie View","W","84","65","25","55",".455","10","22",".455","24","30",".800","4","31","19","7","2","14","12","26","64",".406","7","26",".269","6","7",".857","10","33","10","6","4","15","19","ohio"
"4618","12","2017-12-29","home","Northwestern Ohio","W","65","58","26","63",".413","5","18",".278","8","14",".571","8","41","10","5","3","6","6","24","68",".353","8","30",".267","2","3",".667","8","38","14","4","0","8","13","ohio"
"4619","13","2018-01-02","away","Central Michigan","L","50","75","20","56",".357","3","20",".150","7","16",".438","8","33","9","7","5","17","14","27","64",".422","10","28",".357","11","13",".846","10","38","15","7","1","12","15","ohio"
"4620","14","2018-01-06","home","Northern Illinois","W","78","68","26","46",".565","9","20",".450","17","22",".773","4","29","14","5","6","17","12","26","60",".433","7","20",".350","9","14",".643","9","28","8","10","2","11","22","ohio"
"4621","15","2018-01-09","home","Ball State","L","68","75","23","61",".377","8","18",".444","14","17",".824","7","32","13","6","2","9","18","28","56",".500","7","22",".318","12","19",".632","5","37","14","5","1","14","19","ohio"
"4622","16","2018-01-12","away","Kent State","L","69","70","25","53",".472","9","19",".474","10","13",".769","4","29","15","5","3","13","18","25","56",".446","8","18",".444","12","23",".522","8","32","7","4","1","10","14","ohio"
"4623","17","2018-01-16","home","Toledo","L","57","91","22","63",".349","3","15",".200","10","16",".625","7","28","7","4","7","11","11","35","67",".522","13","22",".591","8","10",".800","7","39","18","5","3","12","15","ohio"
"4624","18","2018-01-20","away","Eastern Michigan","W","72","66","23","47",".489","10","18",".556","16","24",".667","5","25","18","8","5","9","16","24","52",".462","6","17",".353","12","19",".632","5","28","10","6","4","15","19","ohio"
"4625","19","2018-01-23","away","Akron","L","68","71","23","50",".460","9","23",".391","13","16",".813","5","23","16","6","4","12","17","26","55",".473","10","23",".435","9","14",".643","8","27","14","5","0","11","17","ohio"
"4626","20","2018-01-26","home","Buffalo","L","66","73","22","65",".338","7","21",".333","15","22",".682","11","34","11","4","7","12","18","27","64",".422","8","28",".286","11","17",".647","15","49","12","5","5","16","22","ohio"
"4627","1","2017-11-10","home","Robert Morris","W","95","64","40","67",".597","5","18",".278","10","16",".625","16","49","16","8","8","19","13","23","65",".354","10","25",".400","8","10",".800","6","16","12","7","2","18","22","ohio state"
"4628","2","2017-11-12","home","Radford","W","82","72","29","67",".433","8","27",".296","16","22",".727","14","43","10","5","4","15","19","24","59",".407","11","22",".500","13","17",".765","5","27","9","6","3","14","26","ohio state"
"4629","3","2017-11-16","home","Texas Southern","W","82","64","30","65",".462","9","28",".321","13","16",".813","11","37","19","5","4","10","17","22","53",".415","6","22",".273","14","15",".933","4","26","12","5","3","16","17","ohio state"
"4630","4","2017-11-19","home","Northeastern","W","80","55","28","56",".500","3","15",".200","21","27",".778","7","37","13","8","5","9","13","20","56",".357","7","26",".269","8","10",".800","7","29","12","3","1","16","22","ohio state"
"4631","5","2017-11-23","neutral","Gonzaga","L","59","86","19","55",".345","6","20",".300","15","22",".682","9","27","14","4","2","15","18","31","53",".585","12","25",".480","12","18",".667","7","32","14","6","5","13","21","ohio state"
"4632","6","2017-11-24","neutral","Stanford","W","79","71","25","61",".410","9","21",".429","20","25",".800","11","37","13","3","3","14","25","22","61",".361","6","21",".286","21","30",".700","7","28","11","6","4","13","25","ohio state"
"4633","7","2017-11-26","neutral","Butler","L (1 OT)","66","67","24","52",".462","5","15",".333","13","18",".722","5","39","13","4","2","24","21","25","69",".362","6","31",".194","11","20",".550","12","35","8","11","2","14","26","ohio state"
"4634","8","2017-11-29","home","Clemson","L","65","79","24","55",".436","9","21",".429","8","16",".500","8","28","15","3","4","12","13","29","52",".558","10","19",".526","11","13",".846","2","28","16","5","6","10","14","ohio state"
"4635","9","2017-12-02","away","Wisconsin","W","83","58","31","47",".660","7","13",".538","14","19",".737","4","29","19","10","3","13","16","19","49",".388","10","27",".370","10","12",".833","5","17","10","5","1","13","18","ohio state"
"4636","10","2017-12-04","home","Michigan","W","71","62","22","45",".489","5","14",".357","22","29",".759","5","32","12","4","4","10","18","22","59",".373","8","28",".286","10","14",".714","11","31","13","5","0","8","20","ohio state"
"4637","11","2017-12-09","home","William & Mary","W","97","62","35","54",".648","11","21",".524","16","23",".696","9","29","19","7","3","11","12","27","52",".519","5","16",".313","3","6",".500","4","18","13","3","1","18","20","ohio state"
"4638","12","2017-12-16","home","Appalachian State","W","80","67","30","57",".526","3","14",".214","17","23",".739","5","27","13","11","3","11","20","25","53",".472","3","19",".158","14","20",".700","6","26","6","4","0","18","22","ohio state"
"4639","13","2017-12-19","home","Citadel","W","94","65","37","74",".500","13","35",".371","7","9",".778","15","45","27","9","4","12","12","23","71",".324","13","43",".302","6","8",".750","13","34","13","7","1","16","12","ohio state"
"4640","14","2017-12-23","neutral","UNC","L","72","86","26","59",".441","5","16",".313","15","19",".789","3","25","11","9","1","14","22","26","57",".456","13","25",".520","21","25",".840","9","38","16","5","1","18","17","ohio state"
"4641","15","2017-12-30","home","Miami (OH)","W","72","59","23","55",".418","8","20",".400","18","23",".783","8","33","10","4","5","11","11","22","60",".367","9","33",".273","6","7",".857","5","30","11","5","1","14","20","ohio state"
"4642","16","2018-01-04","away","Iowa","W","92","81","35","66",".530","7","20",".350","15","23",".652","10","37","16","6","5","9","22","29","68",".426","7","17",".412","16","23",".696","15","37","17","1","5","10","20","ohio state"
"4643","17","2018-01-07","home","Michigan State","W","80","64","31","59",".525","7","15",".467","11","17",".647","4","30","15","6","4","6","18","23","59",".390","7","25",".280","11","13",".846","9","33","13","3","1","11","17","ohio state"
"4644","18","2018-01-11","home","Maryland","W","91","69","32","57",".561","17","29",".586","10","12",".833","5","31","25","3","6","9","18","22","60",".367","8","22",".364","17","26",".654","13","34","12","7","4","7","12","ohio state"
"4645","19","2018-01-14","away","Rutgers","W","68","46","27","58",".466","7","21",".333","7","10",".700","9","40","14","4","6","11","18","17","59",".288","6","18",".333","6","11",".545","9","29","6","4","4","5","10","ohio state"
"4646","20","2018-01-17","away","Northwestern","W","71","65","26","55",".473","6","17",".353","13","17",".765","8","36","17","7","3","11","13","26","58",".448","8","27",".296","5","10",".500","4","24","19","5","6","10","14","ohio state"
"4647","21","2018-01-20","neutral","Minnesota","W","67","49","27","66",".409","4","20",".200","9","10",".900","12","40","11","10","5","8","18","18","47",".383","3","14",".214","10","20",".500","5","32","8","3","2","15","11","ohio state"
"4648","22","2018-01-22","home","Nebraska","W","64","59","23","52",".442","2","14",".143","16","23",".696","9","34","14","4","2","6","15","21","54",".389","8","29",".276","9","11",".818","7","30","6","3","3","9","20","ohio state"
"4649","23","2018-01-25","home","Penn State","L","79","82","28","50",".560","7","15",".467","16","16","1.000","4","22","12","5","4","10","16","28","48",".583","11","14",".786","15","20",".750","6","21","10","2","1","10","13","ohio state"
"4650","1","2017-11-12","home","Nebraska-Omaha","W","108","89","39","70",".557","8","25",".320","22","27",".815","8","39","21","5","13","17","16","32","73",".438","12","22",".545","13","17",".765","5","24","19","13","2","13","17","oklahoma"
"4651","2","2017-11-15","home","Ball State","W","108","69","42","74",".568","15","29",".517","9","16",".563","10","48","25","9","5","10","17","23","77",".299","11","37",".297","12","15",".800","14","39","11","1","3","13","13","oklahoma"
"4652","3","2017-11-23","neutral","Arkansas","L","83","92","30","65",".462","8","29",".276","15","20",".750","5","31","15","9","4","19","24","28","65",".431","9","18",".500","27","33",".818","9","40","14","8","4","16","19","oklahoma"
"4653","4","2017-11-24","neutral","Portland","W","93","71","34","66",".515","10","30",".333","15","17",".882","9","39","22","9","4","12","18","23","58",".397","12","27",".444","13","20",".650","7","28","13","6","1","16","19","oklahoma"
"4654","5","2017-11-26","neutral","Oregon","W","90","80","25","58",".431","6","23",".261","34","44",".773","11","35","13","9","5","16","17","31","74",".419","8","26",".308","10","14",".714","12","34","13","4","7","17","26","oklahoma"
"4655","6","2017-11-30","home","North Texas","W","82","72","32","59",".542","10","23",".435","8","12",".667","8","28","20","8","3","7","8","29","58",".500","13","29",".448","1","2",".500","7","29","17","3","3","12","14","oklahoma"
"4656","7","2017-12-04","home","UTSA","W","97","85","37","81",".457","11","37",".297","12","16",".750","14","52","15","8","7","14","16","31","81",".383","13","42",".310","10","14",".714","13","43","14","8","2","12","16","oklahoma"
"4657","8","2017-12-08","neutral","USC","W","85","83","30","67",".448","15","31",".484","10","16",".625","11","31","15","4","8","10","15","30","67",".448","10","27",".370","13","14",".929","11","40","18","3","9","17","19","oklahoma"
"4658","9","2017-12-16","away","Wichita State","W","91","83","29","72",".403","13","40",".325","20","26",".769","8","38","15","6","5","8","15","30","70",".429","6","24",".250","17","22",".773","8","42","15","4","3","10","18","oklahoma"
"4659","10","2017-12-19","home","Northwestern State","W","105","68","41","69",".594","11","25",".440","12","17",".706","7","37","27","12","5","14","15","28","65",".431","5","22",".227","7","11",".636","7","28","7","6","4","23","14","oklahoma"
"4660","11","2017-12-22","home","Northwestern","W","104","78","33","54",".611","17","28",".607","21","27",".778","6","30","22","6","2","13","18","29","65",".446","8","28",".286","12","19",".632","12","30","13","3","1","13","23","oklahoma"
"4661","12","2017-12-30","away","Texas Christian","W","90","89","29","62",".468","10","21",".476","22","31",".710","11","39","19","6","10","12","23","30","74",".405","8","19",".421","21","31",".677","16","39","23","8","5","8","22","oklahoma"
"4662","13","2018-01-03","home","Oklahoma State","W","109","89","35","64",".547","15","27",".556","24","34",".706","4","38","24","5","2","12","23","35","80",".438","9","28",".321","10","19",".526","13","39","12","7","3","11","24","oklahoma"
"4663","14","2018-01-06","away","West Virginia","L","76","89","25","58",".431","7","20",".350","19","28",".679","9","34","9","6","1","17","19","32","70",".457","7","26",".269","18","21",".857","10","35","15","8","8","11","23","oklahoma"
"4664","15","2018-01-09","home","Texas Tech","W","75","65","25","61",".410","7","22",".318","18","21",".857","4","34","13","7","10","10","14","25","67",".373","6","25",".240","9","14",".643","10","42","6","4","8","13","16","oklahoma"
"4665","16","2018-01-13","home","Texas Christian","W (1 OT)","102","97","35","72",".486","19","33",".576","13","22",".591","12","37","14","6","7","16","17","38","78",".487","12","33",".364","9","11",".818","11","36","20","9","5","13","20","oklahoma"
"4666","17","2018-01-16","away","Kansas State","L","69","87","26","62",".419","7","25",".280","10","13",".769","16","36","13","7","3","20","14","35","62",".565","9","17",".529","8","8","1.000","6","26","19","11","1","10","16","oklahoma"
"4667","18","2018-01-20","away","Oklahoma State","L (1 OT)","81","83","28","82",".341","10","35",".286","15","17",".882","22","52","11","10","8","14","14","33","82",".402","9","30",".300","8","14",".571","17","40","19","10","8","11","19","oklahoma"
"4668","19","2018-01-23","home","Kansas","W","85","80","28","57",".491","9","23",".391","20","25",".800","8","36","14","6","1","16","21","32","71",".451","10","32",".313","6","14",".429","14","34","17","7","2","11","19","oklahoma"
"4669","1","2017-11-10","home","Pepperdine","W","78","47","28","59",".475","10","29",".345","12","15",".800","5","38","18","6","3","10","22","13","46",".283","3","16",".188","18","29",".621","6","30","6","6","1","17","16","oklahoma state"
"4670","2","2017-11-13","home","Charlotte","W","83","65","29","62",".468","9","24",".375","16","18",".889","5","34","18","5","4","13","26","18","52",".346","4","13",".308","25","32",".781","6","28","9","5","1","14","15","oklahoma state"
"4671","3","2017-11-16","home","Oral Roberts","W","91","48","35","70",".500","13","33",".394","8","11",".727","16","45","23","5","6","7","10","20","60",".333","3","18",".167","5","8",".625","8","26","9","2","2","12","14","oklahoma state"
"4672","4","2017-11-20","neutral","Texas A&M","L","55","72","20","67",".299","3","24",".125","12","22",".545","15","36","7","9","3","10","13","28","57",".491","9","24",".375","7","9",".778","7","41","16","5","5","19","19","oklahoma state"
"4673","5","2017-11-21","neutral","Pitt","W","73","67","25","66",".379","7","28",".250","16","19",".842","16","39","16","6","2","12","19","27","53",".509","4","20",".200","9","15",".600","4","25","17","6","1","14","22","oklahoma state"
"4674","6","2017-11-26","home","Houston Baptist","W","101","74","30","62",".484","10","22",".455","31","33",".939","10","41","26","5","8","17","23","26","66",".394","7","21",".333","15","24",".625","10","29","11","8","3","15","23","oklahoma state"
"4675","7","2017-11-29","home","Austin Peay","W","79","63","28","57",".491","11","27",".407","12","17",".706","10","32","16","5","3","17","18","22","56",".393","4","10",".400","15","21",".714","12","32","10","6","2","20","21","oklahoma state"
"4676","8","2017-12-03","home","Mississippi Valley State","W","83","62","31","59",".525","11","29",".379","10","14",".714","7","32","18","13","4","11","12","26","62",".419","6","18",".333","4","10",".400","12","31","10","6","1","20","17","oklahoma state"
"4677","9","2017-12-09","home","Wichita State","L","66","78","21","52",".404","6","21",".286","18","21",".857","5","22","11","6","3","14","28","20","45",".444","12","26",".462","26","32",".813","7","30","11","5","0","16","21","oklahoma state"
"4678","10","2017-12-16","neutral","Florida State","W","71","70","27","70",".386","9","28",".321","8","10",".800","12","33","17","10","3","16","20","24","58",".414","6","15",".400","16","24",".667","15","39","12","10","7","22","15","oklahoma state"
"4679","11","2017-12-19","home","Tulsa","W","71","59","30","66",".455","10","34",".294","1","1","1.000","11","33","14","5","4","9","15","20","53",".377","8","28",".286","11","14",".786","6","25","8","2","0","12","6","oklahoma state"
"4680","12","2017-12-22","home","Texas-Rio Grande Valley","W","102","83","32","66",".485","9","28",".321","29","34",".853","11","35","22","12","6","18","19","30","71",".423","4","18",".222","19","23",".826","14","31","18","12","2","19","25","oklahoma state"
"4681","13","2017-12-29","home","West Virginia","L","79","85","24","47",".511","6","17",".353","25","36",".694","11","29","9","11","3","21","21","25","57",".439","8","22",".364","27","32",".844","13","32","15","11","2","18","27","oklahoma state"
"4682","14","2018-01-03","away","Oklahoma","L","89","109","35","80",".438","9","28",".321","10","19",".526","13","39","12","7","3","11","24","35","64",".547","15","27",".556","24","34",".706","4","38","24","5","2","12","23","oklahoma state"
"4683","15","2018-01-06","home","Iowa State","W (1 OT)","96","87","33","71",".465","6","20",".300","24","31",".774","9","38","18","5","6","13","23","28","69",".406","6","18",".333","25","30",".833","8","37","16","6","5","15","25","oklahoma state"
"4684","16","2018-01-10","away","Kansas State","L","82","86","28","62",".452","5","18",".278","21","22",".955","11","34","12","5","3","10","29","26","52",".500","6","16",".375","28","37",".757","5","27","14","8","3","8","20","oklahoma state"
"4685","17","2018-01-13","home","Texas","W","65","64","26","58",".448","3","10",".300","10","13",".769","8","26","11","8","1","6","17","23","53",".434","8","21",".381","10","17",".588","12","36","9","5","2","14","15","oklahoma state"
"4686","18","2018-01-15","away","Baylor","L","60","76","21","52",".404","5","18",".278","13","17",".765","9","27","10","2","6","14","22","29","64",".453","10","23",".435","8","13",".615","13","33","20","4","2","8","17","oklahoma state"
"4687","19","2018-01-20","home","Oklahoma","W (1 OT)","83","81","33","82",".402","9","30",".300","8","14",".571","17","40","19","10","8","11","19","28","82",".341","10","35",".286","15","17",".882","22","52","11","10","8","14","14","oklahoma state"
"4688","20","2018-01-23","away","Texas Tech","L","70","75","25","54",".463","7","17",".412","13","19",".684","8","27","10","6","6","19","29","22","52",".423","10","19",".526","21","33",".636","11","27","13","9","3","14","19","oklahoma state"
"4689","1","2017-11-10","home","Towson","W","57","54","24","58",".414","3","16",".188","6","13",".462","7","29","11","5","10","8","18","19","55",".345","6","20",".300","10","14",".714","11","40","8","3","4","16","17","old dominion"
"4690","2","2017-11-13","away","James Madison","W","69","53","23","52",".442","8","17",".471","15","20",".750","7","39","18","4","3","16","19","18","56",".321","6","25",".240","11","15",".733","6","26","9","7","1","12","23","old dominion"
"4691","3","2017-11-16","neutral","Temple","L","65","76","25","62",".403","5","19",".263","10","17",".588","12","28","11","8","8","12","19","23","54",".426","10","19",".526","20","25",".800","10","31","14","6","4","13","17","old dominion"
"4692","4","2017-11-17","neutral","Indiana State","W","62","44","20","58",".345","4","19",".211","18","26",".692","10","38","11","7","8","6","15","17","57",".298","4","20",".200","6","11",".545","9","37","9","1","1","15","21","old dominion"
"4693","5","2017-11-19","neutral","Dayton","W","75","67","29","56",".518","5","16",".313","12","17",".706","9","34","14","6","1","5","14","25","54",".463","12","33",".364","5","7",".714","3","19","18","4","2","9","14","old dominion"
"4694","6","2017-11-25","away","William & Mary","L","77","79","33","54",".611","7","20",".350","4","14",".286","9","25","22","7","2","13","13","28","48",".583","15","25",".600","8","10",".800","3","20","18","8","2","14","13","old dominion"
