"","G","Date","location","Opponent","outcome","points_for","points_against","FG.for","FGA.for","FGpct.for","3P.for","3PA.for","3Ppct.for","FT.for","FTA.for","FTpct.for","ORB.for","TRB.for","AST.for","STL","BLK","TOV","PF","FG.against","FGA.against","FGpct.against","3P.against","3PA.against","3Ppct.against","FT.against","FTA.against","FTpct.against","ORB.against","TRB.against","AST.against","STL.against","BLK.against","TOV.against","PF.against","team"
"141","1","2017-11-10","home","Iona","W","69","67","24","62",".387","4","15",".267","17","19",".895","18","44","6","1","0","11","16","26","59",".441","4","22",".182","11","14",".786","5","21","14","6","3","7","21","albany ny"
"142","2","2017-11-13","away","Boston University","W","88","74","32","56",".571","3","5",".600","21","29",".724","9","33","11","2","1","11","15","29","65",".446","8","27",".296","8","11",".727","7","26","13","7","4","7","21","albany ny"
"143","3","2017-11-17","home","Yale","W","80","72","32","59",".542","3","14",".214","13","19",".684","9","35","16","4","3","14","15","28","67",".418","7","28",".250","9","13",".692","11","27","10","6","5","13","17","albany ny"
"144","4","2017-11-20","home","SUNY-Oneonta","W","102","77","37","72",".514","7","21",".333","21","28",".750","13","41","17","4","0","7","24","23","57",".404","10","25",".400","21","28",".750","8","27","13","3","3","14","28","albany ny"
"145","5","2017-11-22","away","Dartmouth","W","91","73","34","64",".531","8","17",".471","15","16",".938","14","27","13","8","0","12","13","27","49",".551","8","17",".471","11","12",".917","8","23","11","5","7","20","19","albany ny"
"146","6","2017-11-25","away","Holy Cross","W","78","62","31","58",".534","10","21",".476","6","10",".600","8","29","18","5","1","7","15","24","48",".500","5","18",".278","9","14",".643","3","18","11","3","4","9","14","albany ny"
"147","7","2017-11-27","away","Monmouth","L","73","81","26","54",".481","3","11",".273","18","28",".643","7","34","5","2","3","15","23","28","56",".500","8","18",".444","17","24",".708","2","26","12","7","4","8","24","albany ny"
"148","8","2017-11-29","home","Colgate","W","75","69","25","59",".424","6","18",".333","19","23",".826","11","32","14","7","1","10","15","25","55",".455","8","22",".364","11","16",".688","5","22","9","7","1","9","20","albany ny"
"149","9","2017-12-02","home","Columbia","W","86","82","28","62",".452","6","13",".462","24","29",".828","12","35","13","11","1","9","15","31","62",".500","9","21",".429","11","18",".611","9","34","19","3","3","16","25","albany ny"
"150","10","2017-12-06","home","Bryant","W","84","68","33","61",".541","9","17",".529","9","13",".692","9","33","21","2","2","14","14","24","61",".393","11","26",".423","9","16",".563","7","21","21","10","4","9","16","albany ny"
"151","11","2017-12-09","away","Siena","W","74","69","26","55",".473","5","15",".333","17","25",".680","8","26","11","8","1","12","15","24","50",".480","9","20",".450","12","17",".706","5","26","10","5","3","16","22","albany ny"
"152","12","2017-12-12","away","Memphis","L","58","67","21","61",".344","4","17",".235","12","15",".800","12","35","8","4","2","14","18","23","49",".469","4","17",".235","17","24",".708","6","31","10","7","11","12","16","albany ny"
"153","13","2017-12-16","home","Canisius","W","68","65","26","53",".491","2","10",".200","14","20",".700","6","29","11","2","3","12","11","28","61",".459","6","22",".273","3","7",".429","7","24","19","8","1","10","20","albany ny"
"154","14","2017-12-20","away","Louisville","L","68","70","27","74",".365","6","20",".300","8","12",".667","19","50","9","2","2","9","19","24","57",".421","9","21",".429","13","21",".619","7","35","11","4","10","7","19","albany ny"
"155","15","2017-12-28","home","Kent State","W","78","68","23","46",".500","7","18",".389","25","32",".781","8","27","20","4","4","11","18","28","68",".412","3","20",".150","9","13",".692","17","32","13","4","2","11","25","albany ny"
"156","16","2018-01-03","home","Hartford","L","64","72","23","54",".426","8","19",".421","10","14",".714","7","22","14","7","3","12","16","25","50",".500","9","18",".500","13","13","1.000","4","24","15","8","9","13","18","albany ny"
"157","17","2018-01-06","away","New Hampshire","L","61","64","20","49",".408","4","14",".286","17","27",".630","7","31","10","4","2","10","16","25","62",".403","10","24",".417","4","6",".667","12","40","13","4","0","10","22","albany ny"
"158","18","2018-01-10","home","Stony Brook","W","78","65","29","55",".527","6","9",".667","14","17",".824","7","33","20","2","8","10","11","25","60",".417","10","20",".500","5","8",".625","8","27","17","5","5","8","18","albany ny"
"159","19","2018-01-13","away","Maine","W","84","66","21","58",".362","7","17",".412","35","44",".795","11","37","13","3","6","8","23","21","56",".375","6","22",".273","18","27",".667","8","34","14","4","4","12","32","albany ny"
"160","20","2018-01-15","away","Binghamton","L","66","79","24","59",".407","5","16",".313","13","16",".813","9","31","9","4","2","11","22","24","52",".462","6","16",".375","25","32",".781","8","33","12","4","4","9","15","albany ny"
"161","21","2018-01-18","home","UMass-Lowell","W","70","62","24","52",".462","3","12",".250","19","22",".864","7","29","15","10","5","14","14","25","54",".463","7","21",".333","5","8",".625","4","23","19","6","3","18","19","albany ny"
"162","22","2018-01-21","home","UMBC","W","83","39","33","57",".579","9","17",".529","8","10",".800","6","36","20","8","2","11","14","17","54",".315","2","20",".100","3","7",".429","4","19","12","6","4","15","14","albany ny"
"163","23","2018-01-24","away","Vermont","L","50","61","20","51",".392","1","11",".091","9","12",".750","7","26","3","2","6","11","17","22","51",".431","6","16",".375","11","16",".688","9","32","9","3","6","10","14","albany ny"
"164","1","2017-11-10","away","LSU","L","59","99","23","59",".390","4","24",".167","9","13",".692","10","24","7","4","2","15","18","36","59",".610","11","19",".579","16","24",".667","9","33","18","12","6","7","16","alcorn state"
"165","2","2017-11-12","away","Creighton","L","72","109","22","66",".333","7","24",".292","21","28",".750","12","28","12","8","2","16","26","33","59",".559","16","33",".485","27","32",".844","11","45","18","7","4","19","23","alcorn state"
"166","3","2017-11-13","away","Northern Iowa","L","45","73","16","53",".302","7","23",".304","6","10",".600","3","23","6","10","5","9","18","26","58",".448","15","27",".556","6","9",".667","10","47","15","5","2","13","15","alcorn state"
"167","4","2017-11-17","away","Baylor","L","61","78","25","60",".417","9","27",".333","2","4",".500","3","22","16","4","2","12","19","27","63",".429","6","24",".250","18","24",".750","18","47","17","3","4","10","11","alcorn state"
"168","5","2017-11-19","away","Central Arkansas","L","76","102","25","59",".424","5","15",".333","21","31",".677","9","33","12","8","2","14","27","35","64",".547","11","23",".478","21","31",".677","8","37","25","3","2","12","19","alcorn state"
"169","6","2017-11-22","home","Yale","L","73","87","24","60",".400","6","32",".188","19","26",".731","16","33","11","9","5","18","24","26","54",".481","9","30",".300","26","33",".788","12","32","18","9","1","16","20","alcorn state"
"170","7","2017-11-25","home","Concordia (AL)","W","103","56","35","68",".515","13","29",".448","20","28",".714","15","45","29","9","2","19","21","21","66",".318","4","20",".200","10","19",".526","10","29","10","12","3","23","22","alcorn state"
"171","8","2017-11-29","away","Tulane","L","65","81","25","64",".391","11","33",".333","4","6",".667","7","31","15","8","3","14","17","25","53",".472","14","31",".452","17","24",".708","5","31","20","6","6","14","11","alcorn state"
"172","9","2017-12-01","home","Rust","W","89","50","34","63",".540","13","28",".464","8","18",".444","7","40","23","11","1","16","18","17","53",".321","8","28",".286","8","18",".444","6","31","10","3","0","18","14","alcorn state"
"173","10","2017-12-10","away","Iowa State","L","58","78","23","56",".411","8","26",".308","4","8",".500","6","22","10","9","3","9","19","26","64",".406","11","28",".393","15","17",".882","21","46","15","2","5","12","12","alcorn state"
"174","11","2017-12-12","home","Fisk","W","77","69","31","66",".470","8","26",".308","7","13",".538","6","38","20","10","3","8","10","27","64",".422","8","29",".276","7","8",".875","4","30","11","6","2","14","15","alcorn state"
"175","12","2017-12-18","home","Blue Mountain College","W","83","56","33","65",".508","10","29",".345","7","12",".583","10","43","17","7","3","9","17","20","60",".333","3","23",".130","13","19",".684","8","33","8","4","3","14","18","alcorn state"
"176","13","2017-12-22","away","Vanderbilt","L","51","92","17","51",".333","6","19",".316","11","13",".846","4","23","7","1","0","13","12","32","60",".533","17","35",".486","11","14",".786","8","31","23","12","5","6","18","alcorn state"
"177","14","2018-01-01","away","Prairie View","L","64","76","19","52",".365","7","24",".292","19","27",".704","8","27","11","3","0","20","18","29","56",".518","6","17",".353","12","17",".706","9","37","20","10","2","14","21","alcorn state"
"178","15","2018-01-03","away","Texas Southern","L","70","85","27","56",".482","9","24",".375","7","11",".636","2","18","11","4","3","13","24","25","59",".424","9","23",".391","26","32",".813","16","44","15","6","2","16","15","alcorn state"
"179","16","2018-01-06","home","Jackson State","L","55","60","18","46",".391","5","20",".250","14","21",".667","9","31","12","7","3","14","15","22","56",".393","5","24",".208","11","17",".647","14","35","13","7","2","9","19","alcorn state"
"180","17","2018-01-08","home","Grambling","L","61","72","22","50",".440","7","21",".333","10","20",".500","10","31","13","4","4","18","23","24","60",".400","3","12",".250","21","31",".677","17","41","11","7","3","15","21","alcorn state"
"181","18","2018-01-13","away","Mississippi Valley State","W","77","63","22","40",".550","12","19",".632","21","25",".840","9","32","8","7","3","22","21","22","57",".386","5","20",".250","14","21",".667","13","22","12","5","1","16","20","alcorn state"
"182","19","2018-01-15","away","Arkansas-Pine Bluff","L","59","71","18","54",".333","6","21",".286","17","20",".850","8","33","6","10","0","13","22","22","52",".423","11","28",".393","16","25",".640","9","33","16","10","7","15","17","alcorn state"
"183","20","2018-01-20","home","Alabama A&M","W","68","52","25","56",".446","6","17",".353","12","17",".706","11","42","16","7","4","17","12","21","54",".389","7","26",".269","3","9",".333","5","25","20","5","1","14","18","alcorn state"
"184","21","2018-01-22","home","Alabama State","W","81","64","27","55",".491","8","23",".348","19","26",".731","12","35","11","5","0","17","24","19","51",".373","10","28",".357","16","22",".727","9","22","9","4","3","19","19","alcorn state"
"185","1","2017-11-10","away","Kansas State","L","45","83","17","56",".304","8","31",".258","3","4",".750","8","22","9","9","1","17","15","29","53",".547","12","22",".545","13","21",".619","12","40","22","8","4","17","11","american"
"186","2","2017-11-15","away","West Virginia","L","64","98","21","46",".457","9","25",".360","13","20",".650","7","24","13","3","3","22","23","32","63",".508","5","16",".313","29","39",".744","14","35","17","14","3","7","20","american"
"187","3","2017-11-18","away","Wagner","L","70","71","23","52",".442","7","16",".438","17","28",".607","9","22","7","4","7","12","25","20","51",".392","7","15",".467","24","28",".857","15","38","8","6","4","16","25","american"
"188","4","2017-11-21","away","New Hampshire","W","74","70","23","54",".426","11","30",".367","17","29",".586","10","32","11","10","4","9","29","17","45",".378","7","23",".304","29","40",".725","6","32","8","7","1","13","18","american"
