"","precinct","county","democrat","republican","other","office","active","inactive","total","dem.two.way","turnout","hod_contested"
"182","017 - INDIAN CREEK","CHESAPEAKE CITY",261,609,12,"Governor",1748,70,1818,30,50.4576659038902,1
"183","017 - LEE-HI","ROANOKE CITY",715,424,35,"Governor",2451,275,2726,62.774363476734,47.8988168094655,0
"184","017 - OCEAN PARK","VIRGINIA BEACH CITY",554,542,20,"Governor",2279,157,2436,50.5474452554745,48.9688459850812,1
"185","017 - OVERLEE KNOLLS","ARLINGTON COUNTY",1333,368,12,"Governor",3110,242,3352,78.3656672545561,55.08038585209,0
"186","017 - VICTORY LIFE FELLOWSHIP","PORTSMOUTH CITY",566,258,11,"Governor",2196,232,2428,68.6893203883495,38.023679417122,0
"187","017 - WARD SEVENTEEN","DANVILLE CITY",241,614,3,"Governor",1773,94,1867,28.187134502924,48.3925549915398,0
"188","018 - INDIAN RIVER","CHESAPEAKE CITY",551,239,17,"Governor",2012,255,2267,69.746835443038,40.1093439363817,0
"189","018 - PARK LANE","ARLINGTON COUNTY",1528,365,16,"Governor",4984,838,5822,80.7184363444268,38.3025682182986,0
"190","018 - THOROUGHGOOD","VIRGINIA BEACH CITY",814,892,25,"Governor",3343,161,3504,47.7139507620164,51.7798384684415,1
"191","018 - Virginia Heights-Norwich","ROANOKE CITY",874,272,22,"Governor",2747,349,3096,76.2652705061082,42.5191117582818,0
"192","019 - FAIRVIEW HEIGHTS BAPTIST CHURCH","PORTSMOUTH CITY",277,197,7,"Governor",1098,91,1189,58.4388185654008,43.8069216757741,0
"193","019 - JOLLIFF","CHESAPEAKE CITY",369,535,10,"Governor",1642,78,1720,40.8185840707965,55.6638246041413,0
"194","019 - LAKE SMITH","VIRGINIA BEACH CITY",347,451,9,"Governor",1578,123,1701,43.483709273183,51.1406844106464,1
"195","019 - ROSSLYN","ARLINGTON COUNTY",1282,286,17,"Governor",3762,613,4375,81.7602040816327,42.1318447634237,0
"196","019 - Summit Hills","ROANOKE CITY",643,405,14,"Governor",2442,213,2655,61.3549618320611,43.4889434889435,0
"197","020 - BAYSIDE","VIRGINIA BEACH CITY",542,527,14,"Governor",2362,166,2528,50.7015902712816,45.8509737510584,1
"198","020 - E W CHITTUM","CHESAPEAKE CITY",639,776,10,"Governor",2638,176,2814,45.1590106007067,54.0181956027293,0
"199","020 - FOREST PARK","ROANOKE CITY",460,56,8,"Governor",1801,296,2097,89.1472868217054,29.0949472515269,0
"200","020 - NOBLE STREET BAPTIST CHURCH","PORTSMOUTH CITY",495,171,13,"Governor",1518,151,1669,74.3243243243243,44.729907773386,0
"201","020 - THRIFTON","ARLINGTON COUNTY",1135,456,11,"Governor",2843,142,2985,71.3387806411062,56.3489271895885,0
"202","021 - DAVIS CORNER","VIRGINIA BEACH CITY",917,211,17,"Governor",3109,362,3471,81.2943262411348,36.828562238662,0
"203","021 - EUREKA PARK","ROANOKE CITY",1199,77,5,"Governor",3323,376,3699,93.9655172413793,38.5495034607283,0
"204","021 - FELLOWSHIP","CHESAPEAKE CITY",578,651,16,"Governor",2409,202,2611,47.0301057770545,51.681195516812,0
"205","021 - JOHN F. KENNEDY COMMUNITY CENTER","PORTSMOUTH CITY",532,12,0,"Governor",1164,105,1269,97.7941176470588,46.7353951890034,0
"206","021 - VIRGINIA HIGHLANDS","ARLINGTON COUNTY",708,230,10,"Governor",1948,266,2214,75.4797441364606,48.6652977412731,1
"207","022 - ABINGDON","ARLINGTON COUNTY",1383,318,33,"Governor",2849,314,3163,81.305114638448,60.8634608634609,0
"208","022 - FORWARD CHURCH","PORTSMOUTH CITY",428,272,13,"Governor",1771,147,1918,61.1428571428571,40.2597402597403,0
"209","022 - NORFOLK HIGHLANDS","CHESAPEAKE CITY",318,359,12,"Governor",1670,155,1825,46.9719350073855,41.2574850299401,0
"210","022 - POINT O VIEW","VIRGINIA BEACH CITY",499,616,19,"Governor",2269,157,2426,44.7533632286995,49.9779638607316,1
"211","023 - ARROWHEAD","VIRGINIA BEACH CITY",592,711,23,"Governor",2844,273,3117,45.4336147352264,46.6244725738397,1
"212","023 - OAK GROVE","CHESAPEAKE CITY",683,510,14,"Governor",2580,209,2789,57.2506286672255,46.7829457364341,0
"213","023 - WESTHAVEN BAPTIST CHURCH","PORTSMOUTH CITY",314,401,18,"Governor",1603,112,1715,43.9160839160839,45.7267623206488,0
"214","023 - WESTOVER","ARLINGTON COUNTY",1235,277,18,"Governor",2649,175,2824,81.6798941798942,57.757644394111,0
"215","024 - LARKSPUR","VIRGINIA BEACH CITY",518,471,10,"Governor",2091,238,2329,52.376137512639,47.7761836441894,1
"216","024 - OAKLETTE","CHESAPEAKE CITY",598,343,24,"Governor",2442,347,2789,63.5494155154091,39.5167895167895,0
"217","024 - WILLETT HALL","PORTSMOUTH CITY",437,217,16,"Governor",1424,129,1553,66.8195718654434,47.0505617977528,0
"218","024 - WOODLAWN","ARLINGTON COUNTY",1592,333,18,"Governor",3777,304,4081,82.7012987012987,51.4429441355573,0
"219","025 - ARLINGTON FOREST","ARLINGTON COUNTY",1091,282,13,"Governor",2629,203,2832,79.4610342316096,52.7196652719665,0
"220","025 - AVALON","VIRGINIA BEACH CITY",930,887,18,"Governor",3967,397,4364,51.1832691249312,46.2566170910008,1
"221","025 - ST JULIANS","CHESAPEAKE CITY",322,248,12,"Governor",1371,176,1547,56.4912280701754,42.4507658643326,0
"222","026 - FAIRFIELD","VIRGINIA BEACH CITY",664,674,11,"Governor",2564,137,2701,49.626307922272,52.613104524181,1
"223","026 - FILLMORE","ARLINGTON COUNTY",1506,258,34,"Governor",3650,511,4161,85.3741496598639,49.2602739726027,1
"224","026 - JOHNSON PARK","CHESAPEAKE CITY",346,154,9,"Governor",1244,155,1399,69.2,40.9163987138264,0
"225","026 - WILLIAM E. WATERS MIDDLE SCHOOL","PORTSMOUTH CITY",972,20,6,"Governor",1794,118,1912,97.9838709677419,55.6298773690078,0
"226","027 - CAVALIER MANOR RECREATION CENTER","PORTSMOUTH CITY",906,25,8,"Governor",1850,120,1970,97.3147153598281,50.7567567567568,0
"227","027 - EDWIN","VIRGINIA BEACH CITY",704,822,24,"Governor",2814,213,3027,46.1336828309305,55.0817341862118,1
