"","precinct","county","democrat","republican","other","office","active","inactive","total","dem.two.way","turnout","hod_contested"
"1583","304 - EAST IVY","ALBEMARLE COUNTY",385,237,6,"Governor",1007,43,1050,61.8971061093248,62.3634558093347,1
"1584","304 - FOREST YOUTH ATHLETIC ASSOC","BEDFORD COUNTY",137,404,1,"Governor",989,48,1037,25.3234750462107,54.8028311425683,0
"1585","304 - FORT VALLEY","SHENANDOAH COUNTY",143,389,14,"Governor",1017,33,1050,26.8796992481203,53.6873156342183,0
"1586","304 - GROTTOES","ROCKINGHAM COUNTY",171,565,5,"Governor",1645,90,1735,23.2336956521739,45.0455927051672,1
"1587","304 - JACKSON DAVIS","HENRICO COUNTY",402,469,16,"Governor",1711,75,1786,46.1538461538462,51.8410286382233,1
"1588","304 - MOUNT OLIVET","HENRY COUNTY",511,471,6,"Governor",1926,110,2036,52.0366598778004,51.2980269989616,0
"1589","304 - NANSEMOND RIVER","SUFFOLK CITY",877,416,18,"Governor",2650,248,2898,67.8267594740913,49.4716981132075,0
"1590","304 - OAK GROVE","ROANOKE COUNTY",709,1044,16,"Governor",3114,139,3253,40.4449515116942,56.8079640333976,1
"1591","304 - POWHATAN D","JAMES CITY COUNTY",977,644,9,"Governor",3423,275,3698,60.2714373843307,47.6190476190476,1
"1592","304 - PRECINCT C-4","MONTGOMERY COUNTY",397,666,23,"Governor",2521,174,2695,37.3471307619944,43.078143593812,1
"1593","304 - QUANTICO","PRINCE WILLIAM COUNTY",68,63,1,"Governor",779,302,1081,51.9083969465649,16.9448010269576,1
"1594","304 - SAMUEL TUCKER SCHOOL","ALEXANDRIA CITY",1715,258,15,"Governor",4923,827,5750,86.9234668018246,40.3818809668901,0
"1595","304 - SEYMOUR","BRUNSWICK COUNTY",109,71,0,"Governor",434,16,450,60.5555555555556,41.4746543778802,0
"1596","304 - SNOWVILLE","PULASKI COUNTY",178,508,12,"Governor",1215,57,1272,25.9475218658892,57.4485596707819,1
"1597","304 - THIRD WARD FOURTH PRECINCT","LYNCHBURG CITY",265,451,5,"Governor",1640,207,1847,37.0111731843575,43.9634146341463,1
"1598","304 - THREE HUNDRED FOUR","RICHMOND CITY",815,22,7,"Governor",1760,152,1912,97.3715651135006,47.9545454545455,0
"1599","304 - VERNON HILL","HALIFAX COUNTY",126,261,1,"Governor",816,55,871,32.5581395348837,47.5490196078431,1
"1600","304 - WILLOW SHADE","CULPEPER COUNTY",136,144,4,"Governor",788,70,858,48.5714285714286,36.0406091370558,1
"1601","304 - WINFREES STORE","CHESTERFIELD COUNTY",516,1370,13,"Governor",3823,151,3974,27.3594909862142,49.6730316505362,1
"1602","305 - BEACH","CHESTERFIELD COUNTY",158,534,3,"Governor",1278,46,1324,22.8323699421965,54.3818466353678,1
"1603","305 - CASTLE ROCK","ROANOKE COUNTY",778,1050,23,"Governor",3492,165,3657,42.5601750547046,53.0068728522337,1
"1604","305 - COOL SPRING","HANOVER COUNTY",518,831,18,"Governor",2375,60,2435,38.3988139362491,57.5578947368421,1
"1605","305 - COUNTRY GREEN","ALBEMARLE COUNTY",939,403,17,"Governor",2343,117,2460,69.9701937406855,58.0025608194622,1
"1606","305 - DOWNTOWN","NEWPORT NEWS CITY",246,49,2,"Governor",837,192,1029,83.3898305084746,35.4838709677419,0
"1607","305 - EL NIDO","FAIRFAX COUNTY",808,368,7,"Governor",2297,119,2416,68.7074829931973,51.501959077057,0
"1608","305 - HUDDLESTON ELEM SCHOOL","BEDFORD COUNTY",75,351,2,"Governor",880,41,921,17.6056338028169,48.6363636363636,0
"1609","305 - JOHN ADAMS SCHOOL","ALEXANDRIA CITY",1169,207,14,"Governor",3689,744,4433,84.9563953488372,37.6795879642179,0
"1610","305 - LAFAYETTE-WINONA","NORFOLK CITY",797,130,12,"Governor",1927,153,2080,85.9762675296656,48.7285936689154,0
"1611","305 - MASSANETTA SPRINGS","ROCKINGHAM COUNTY",499,613,12,"Governor",2078,131,2209,44.8741007194245,54.0904716073147,1
"1612","305 - MOUNTAIN VALLEY","HENRY COUNTY",189,240,6,"Governor",986,56,1042,44.0559440559441,44.1176470588235,0
"1613","305 - NUCKOLS FARM","HENRICO COUNTY",842,959,21,"Governor",3073,111,3184,46.7518045530261,59.2905955092743,1
"1614","305 - PATTIE","PRINCE WILLIAM COUNTY",761,532,17,"Governor",2798,219,3017,58.8553750966744,46.819156540386,1
"1615","305 - PHILOMONT","LOUDOUN COUNTY",280,350,3,"Governor",1142,50,1192,44.4444444444444,55.4290718038529,1
"1616","305 - POUNDING MILL","TAZEWELL COUNTY",41,282,2,"Governor",843,41,884,12.6934984520124,38.5527876631079,1
"1617","305 - RICEVILLE","PITTSYLVANIA COUNTY",265,219,1,"Governor",1055,44,1099,54.7520661157025,45.9715639810427,0
"1618","305 - SHOULDERS HILL","SUFFOLK CITY",376,197,5,"Governor",1041,57,1098,65.6195462478185,55.52353506244,0
"1619","305 - SINAI","HALIFAX COUNTY",372,267,9,"Governor",1698,128,1826,58.2159624413146,38.1625441696113,1
"1620","305 - THIRD WARD FIFTH PRECINCT","LYNCHBURG CITY",479,950,16,"Governor",3555,320,3875,33.519944016795,40.6469760900141,1
"1621","305 - THREE HUNDRED FIVE","RICHMOND CITY",820,50,15,"Governor",1874,215,2089,94.2528735632184,47.2251867662753,0
"1622","306 - CROSS KEYS","ROCKINGHAM COUNTY",86,249,3,"Governor",558,7,565,25.6716417910448,60.573476702509,1
"1623","306 - DUNBAR","NEWPORT NEWS CITY",115,7,1,"Governor",550,95,645,94.2622950819672,22.3636363636364,0
"1624","306 - GARST MILL","ROANOKE COUNTY",338,428,8,"Governor",1608,160,1768,44.1253263707572,48.134328358209,1
"1625","306 - GREAT FALLS","FAIRFAX COUNTY",581,495,4,"Governor",2086,94,2180,53.996282527881,51.7737296260786,1
"1626","306 - LINDENWOOD","NORFOLK CITY",641,48,7,"Governor",1493,155,1648,93.033381712627,46.6175485599464,0
"1627","306 - POCAHONTAS","HENRICO COUNTY",761,615,10,"Governor",2692,193,2885,55.3052325581395,51.4858841010401,1
"1628","306 - PORTERS","ALBEMARLE COUNTY",485,253,6,"Governor",1506,58,1564,65.7181571815718,49.402390438247,1
"1629","306 - THREE HUNDRED SIX","RICHMOND CITY",654,40,8,"Governor",1831,353,2184,94.2363112391931,38.3397050791917,0
"1630","306 - WASHINGTON-REID","PRINCE WILLIAM COUNTY",847,624,13,"Governor",2955,173,3128,57.5798776342624,50.2199661590525,1
"1631","306 - WILLIAM RAMSAY SCHOOL","ALEXANDRIA CITY",1276,219,14,"Governor",3810,545,4355,85.3511705685619,39.6062992125984,0
"1632","306 - WINTERPOCK","CHESTERFIELD COUNTY",501,1406,22,"Governor",3610,123,3733,26.2716308337703,53.4349030470914,1
"1633","307 - COSBY","CHESTERFIELD COUNTY",954,1054,22,"Governor",4233,245,4478,47.5099601593625,47.9565320103945,1
"1634","307 - CROSSROADS","ROCKINGHAM COUNTY",600,886,11,"Governor",2610,121,2731,40.3768506056528,57.3563218390805,1
"1635","307 - EAST BLAIRS","PITTSYLVANIA COUNTY",451,126,0,"Governor",1394,115,1509,78.1629116117851,41.3916786226686,0
"1636","307 - HAYCOCK","FAIRFAX COUNTY",933,404,10,"Governor",2427,136,2563,69.7830964846672,55.5006180469716,0
"1637","307 - HENDERSON","PRINCE WILLIAM COUNTY",683,541,12,"Governor",2584,172,2756,55.8006535947712,47.8328173374613,1
"1638","307 - HUNTINGTON","NEWPORT NEWS CITY",345,4,3,"Governor",993,112,1105,98.8538681948424,35.448136958711,0
"1639","307 - MIDDLEBURG","LOUDOUN COUNTY",380,263,10,"Governor",1225,75,1300,59.0979782270607,53.3061224489796,1
"1640","307 - RIDGE","HENRICO COUNTY",395,424,14,"Governor",1544,104,1648,48.2295482295482,53.9507772020725,1
"1641","307 - SOUTH PORT","ALEXANDRIA CITY",1134,279,10,"Governor",3201,360,3561,80.2547770700637,44.4548578569197,0
"1642","307 - THREE HUNDRED SEVEN","RICHMOND CITY",869,183,17,"Governor",1618,128,1746,82.6045627376426,66.0692212608158,0
"1643","307 - YELLOW MOUNTAIN","ALBEMARLE COUNTY",218,160,6,"Governor",662,42,704,57.6719576719577,58.0060422960725,1
"1644","308 - CAMERON STATION COMMUNITY CTR","ALEXANDRIA CITY",1354,509,13,"Governor",3387,384,3771,72.6784755770263,55.388249188072,0
"1645","308 - JEFFERSON","NEWPORT NEWS CITY",347,5,2,"Governor",1058,134,1192,98.5795454545455,33.4593572778828,0
"1646","308 - MONTCLAIR","PRINCE WILLIAM COUNTY",469,376,9,"Governor",1745,127,1872,55.5029585798817,48.9398280802292,1
"1647","308 - MT AIRY","PITTSYLVANIA COUNTY",149,122,1,"Governor",622,38,660,54.9815498154982,43.7299035369775,0
"1648","308 - RIVERS EDGE","HENRICO COUNTY",743,875,19,"Governor",2775,86,2861,45.9208899876391,58.990990990991,1
"1649","308 - SOUTH MANCHESTER","CHESTERFIELD COUNTY",301,217,9,"Governor",1250,139,1389,58.1081081081081,42.16,1
"1650","308 - ST LOUIS","LOUDOUN COUNTY",370,299,4,"Governor",1318,66,1384,55.3064275037369,51.062215477997,1
"1651","308 - THREE HUNDRED EIGHT","RICHMOND CITY",911,212,15,"Governor",1679,89,1768,81.1219946571683,67.7784395473496,0
"1652","309 - ALDIE","LOUDOUN COUNTY",257,253,5,"Governor",979,43,1022,50.3921568627451,52.6046986721144,1
"1653","309 - EAST GRETNA","PITTSYLVANIA COUNTY",138,171,1,"Governor",731,36,767,44.6601941747573,42.4076607387141,0
"1654","309 - KENMORE","FAIRFAX COUNTY",1032,695,14,"Governor",3831,185,4016,59.7568037058483,45.4450535108327,1
"1655","309 - MAGRUDER","NEWPORT NEWS CITY",426,11,1,"Governor",1053,120,1173,97.4828375286041,41.5954415954416,0
"1656","309 - NORVIEW","NORFOLK CITY",1373,273,19,"Governor",4016,441,4457,83.4143377885784,41.4591633466135,0
"1657","309 - SADLER","HENRICO COUNTY",823,738,10,"Governor",2972,134,3106,52.7226137091608,52.8600269179004,1
"1658","309 - SKINQUARTER","CHESTERFIELD COUNTY",1025,1664,34,"Governor",5436,157,5593,38.1182595760506,50.0919793966152,1
"1659","309 - THREE HUNDRED NINE","RICHMOND CITY",516,259,12,"Governor",1260,68,1328,66.5806451612903,62.4603174603175,0
"1660","310 - FOREST PARK","PRINCE WILLIAM COUNTY",757,321,14,"Governor",2500,203,2703,70.2226345083488,43.68,1
"1661","310 - KIRBY","FAIRFAX COUNTY",753,301,12,"Governor",2110,112,2222,71.4421252371916,50.521327014218,0
"1662","310 - MARSHALL","NEWPORT NEWS CITY",561,11,4,"Governor",1538,177,1715,98.0769230769231,37.4512353706112,0
"1663","310 - MOUNTAIN VIEW","LOUDOUN COUNTY",665,798,14,"Governor",3233,200,3433,45.4545454545455,45.6851221775441,1
"1664","310 - ROSEMONT","NORFOLK CITY",1397,55,9,"Governor",3503,394,3897,96.2121212121212,41.7071081929775,0
"1665","310 - SHADY GROVE","HENRICO COUNTY",792,969,9,"Governor",3212,140,3352,44.9744463373084,55.1058530510585,1
"1666","310 - THREE HUNDRED TEN","RICHMOND CITY",207,5,3,"Governor",1013,119,1132,97.6415094339623,21.2240868706811,0
"1667","310 - TOMAHAWK","CHESTERFIELD COUNTY",770,952,23,"Governor",3203,132,3335,44.7154471544715,54.4801748360912,1
"1668","311 - LANGLEY","FAIRFAX COUNTY",606,437,9,"Governor",2154,117,2271,58.1016299137105,48.8393686165274,1
"1669","311 - NEWMARKET","NEWPORT NEWS CITY",950,246,16,"Governor",2689,245,2934,79.4314381270903,45.0725176645593,0
"1670","311 - ROUND HILL ELEMENTARY","LOUDOUN COUNTY",509,726,14,"Governor",2567,123,2690,41.2145748987854,48.6560186988703,1
"1671","311 - SHERWOOD","NORFOLK CITY",1159,446,13,"Governor",3880,394,4274,72.2118380062305,41.701030927835,0
"1672","311 - SHORT PUMP","HENRICO COUNTY",1091,889,26,"Governor",3959,199,4158,55.1010101010101,50.6693609497348,1
"1673","311 - SWANS CREEK","PRINCE WILLIAM COUNTY",1259,375,14,"Governor",3737,226,3963,77.0501835985312,44.0995450896441,1
"1674","312 - BRIAR WOODS","LOUDOUN COUNTY",846,393,12,"Governor",2811,126,2937,68.2808716707022,44.5037353255069,1
"1675","312 - LONGFELLOW","FAIRFAX COUNTY",889,384,7,"Governor",2592,174,2766,69.8350353495679,49.3827160493827,0
"1676","312 - NEWSOME PARK","NEWPORT NEWS CITY",131,7,0,"Governor",438,85,523,94.9275362318841,31.5068493150685,0
"1677","312 - SPRINGFIELD","HENRICO COUNTY",572,382,11,"Governor",2012,147,2159,59.958071278826,47.962226640159,1
"1678","313 - CARDINAL","PRINCE WILLIAM COUNTY",619,272,8,"Governor",2057,139,2196,69.4725028058361,43.7044239183277,0
"1679","313 - PINEBROOK","LOUDOUN COUNTY",1113,587,10,"Governor",3837,65,3902,65.4705882352941,44.5660672400313,1
"1680","313 - REED","NEWPORT NEWS CITY",789,22,3,"Governor",2088,188,2276,97.2872996300863,38.9846743295019,0
"1681","313 - STONEY RUN","HENRICO COUNTY",1110,1014,21,"Governor",3839,184,4023,52.2598870056497,55.8739255014327,1
"1682","313 - UNION CHAPEL","NORFOLK CITY",475,17,4,"Governor",1169,146,1315,96.5447154471545,42.4294268605646,0
"1683","313 - WOOLRIDGE","CHESTERFIELD COUNTY",1015,1286,21,"Governor",4202,209,4411,44.1112559756628,55.2594002855783,1
"1684","314 - CABIN BRANCH","PRINCE WILLIAM COUNTY",645,361,12,"Governor",2179,134,2313,64.1153081510934,46.7186782927949,1
"1685","314 - LEGACY","LOUDOUN COUNTY",777,406,7,"Governor",2446,92,2538,65.6804733727811,48.6508585445626,1
"1686","314 - MCLEAN","FAIRFAX COUNTY",763,427,7,"Governor",2534,158,2692,64.1176470588235,47.2375690607735,0
"1687","314 - RIVER","NEWPORT NEWS CITY",400,256,11,"Governor",1463,165,1628,60.9756097560976,45.5912508544087,1
"1688","314 - THREE CHOPT","HENRICO COUNTY",774,702,25,"Governor",2827,135,2962,52.4390243902439,53.095153873364,1
"1689","315 - BAILEY BRIDGE","CHESTERFIELD COUNTY",574,1190,20,"Governor",3290,137,3427,32.5396825396825,54.2249240121581,1
"1690","315 - FIREHOUSE","LOUDOUN COUNTY",198,262,4,"Governor",853,29,882,43.0434782608696,54.3962485345838,1
"1691","315 - PIMMIT","FAIRFAX COUNTY",1078,465,24,"Governor",3188,334,3522,69.8639014906027,49.1530740276035,0
"1692","315 - SEDGEFIELD","NEWPORT NEWS CITY",512,404,13,"Governor",1877,183,2060,55.8951965065502,49.493873201918,1
"1693","315 - TUCKER","HENRICO COUNTY",1014,344,18,"Governor",3361,434,3795,74.6686303387334,40.9401963701279,1
"1694","316 - CREIGHTON'S CORNER","LOUDOUN COUNTY",804,398,9,"Governor",2667,159,2826,66.8885191347754,45.4068241469816,1
"1695","316 - SALONA #1","FAIRFAX COUNTY",297,199,2,"Governor",1003,59,1062,59.8790322580645,49.6510468594217,1
"1696","316 - SOUTH MORRISON","NEWPORT NEWS CITY",729,325,15,"Governor",2583,292,2875,69.1650853889943,41.3859852884243,0
"1697","316 - SPRING RUN","CHESTERFIELD COUNTY",654,799,22,"Governor",3100,182,3282,45.0103234686855,47.5806451612903,1
"1698","317 - BIRKDALE","CHESTERFIELD COUNTY",905,1226,17,"Governor",3884,165,4049,42.4683247301736,55.3038105046344,1
"1699","317 - WASHINGTON","NEWPORT NEWS CITY",239,7,1,"Governor",651,73,724,97.1544715447154,37.9416282642089,0
"1700","317 - WESTHAMPTON","FAIRFAX COUNTY",849,365,7,"Governor",2229,170,2399,69.9341021416804,54.7779273216689,0
"1701","318 - Madison's Trust","LOUDOUN COUNTY",541,626,11,"Governor",2770,99,2869,46.3581833761782,42.5270758122744,1
"1702","318 - WEST BEACH","CHESTERFIELD COUNTY",240,329,3,"Governor",1076,38,1114,42.1792618629174,53.1598513011152,1
"1703","318 - WESTMORELAND","FAIRFAX COUNTY",532,247,4,"Governor",1481,88,1569,68.2926829268293,52.8696826468602,0
"1704","318 - WILSON","NEWPORT NEWS CITY",512,57,9,"Governor",1193,116,1309,89.9824253075571,48.4492875104778,0
"1705","319 - HERNDON #1","FAIRFAX COUNTY",1315,623,31,"Governor",3804,266,4070,67.8534571723426,51.7613038906414,1
"1706","319 - JOHN CHAMPE","LOUDOUN COUNTY",800,470,18,"Governor",2951,46,2997,62.992125984252,43.6462216197899,1
"1707","319 - SAUNDERS","NEWPORT NEWS CITY",844,649,19,"Governor",3464,523,3987,56.5304755525787,43.64896073903,0
"1708","320 - HERNDON #2","FAIRFAX COUNTY",1376,484,23,"Governor",4065,319,4384,73.9784946236559,46.3222632226322,1
"1709","320 - STONE HILL","LOUDOUN COUNTY",875,296,14,"Governor",2573,78,2651,74.7224594363792,46.0551884959192,1
"1710","320 - WATKINS","NEWPORT NEWS CITY",982,956,36,"Governor",4437,518,4955,50.6707946336429,44.4895199459094,1
"1711","321 - BRAMBLETON MIDDLE","LOUDOUN COUNTY",532,224,5,"Governor",1571,25,1596,70.3703703703704,48.4404837683004,1
"1712","321 - CLEARVIEW","FAIRFAX COUNTY",1315,682,28,"Governor",3900,228,4128,65.8487731597396,51.9230769230769,1
"1713","322 - FORESTVILLE","FAIRFAX COUNTY",756,731,12,"Governor",3099,182,3281,50.8406186953598,48.3704420780897,1
"1714","323 - SHOUSE","FAIRFAX COUNTY",739,456,9,"Governor",2209,100,2309,61.8410041841004,54.5043005885016,1
"1715","324 - HERNDON #3","FAIRFAX COUNTY",1105,394,26,"Governor",3569,410,3979,73.7158105403602,42.7290557579154,1
"1716","325 - HUTCHISON","FAIRFAX COUNTY",792,160,14,"Governor",2233,304,2537,83.1932773109244,43.2601880877743,1
"1717","327 - SUGARLAND","FAIRFAX COUNTY",1137,661,12,"Governor",3561,186,3747,63.2369299221357,50.8284189834316,1
"1718","328 - HICKORY","FAIRFAX COUNTY",901,667,10,"Governor",3247,171,3418,57.4617346938776,48.5987064983061,1
"1719","329 - SENECA","FAIRFAX COUNTY",961,739,14,"Governor",3448,183,3631,56.5294117647059,49.7099767981438,1
"1720","331 - SPRING HILL","FAIRFAX COUNTY",686,451,3,"Governor",2285,105,2390,60.3342128408091,49.890590809628,1
"1721","332 - COATES","FAIRFAX COUNTY",1026,255,16,"Governor",3614,606,4220,80.0936768149883,35.8882125069175,1
"1722","333 - SALONA #2","FAIRFAX COUNTY",577,327,6,"Governor",1750,86,1836,63.8274336283186,52,0
"1723","401- HARMONY VILLAGE","MIDDLESEX COUNTY",294,362,9,"Governor",1414,42,1456,44.8170731707317,47.029702970297,1
"1724","401 - 4A","NORTHUMBERLAND COUNTY",396,871,13,"Governor",2088,60,2148,31.2549329123915,61.3026819923372,1
"1725","401 - AIRPORT","SUFFOLK CITY",321,379,10,"Governor",1567,86,1653,45.8571428571429,45.3095086151883,0
"1726","401 - AMELON","AMHERST COUNTY",484,983,14,"Governor",3145,186,3331,32.9925017041581,47.0906200317965,1
"1727","401 - AMERICAN LEGION HALL","MECKLENBURG COUNTY",461,246,2,"Governor",2010,155,2165,65.2050919377652,35.273631840796,0
"1728","401 - AQUIA","STAFFORD COUNTY",345,171,6,"Governor",1402,137,1539,66.8604651162791,37.2325249643367,1
"1729","401 - ARROWHEAD GUN CLUB","LUNENBURG COUNTY",38,161,0,"Governor",381,24,405,19.0954773869347,52.2309711286089,0
"1730","401 - BARBOURS CREEK","CRAIG COUNTY",31,121,7,"Governor",317,16,333,20.3947368421053,50.1577287066246,1
"1731","401 - BATTLEFIELD","HANOVER COUNTY",301,1129,13,"Governor",2506,82,2588,21.0489510489511,57.5818036711891,1
"1732","401 - BRIDGEWATER","ROCKINGHAM COUNTY",681,1106,24,"Governor",3412,114,3526,38.1085618354785,53.0773739742087,1
"1733","401 - BUFFALO GAP","AUGUSTA COUNTY",143,521,9,"Governor",1257,34,1291,21.5361445783133,53.5401750198886,1
"1734","401 - BURKS FORK","FLOYD COUNTY",287,647,13,"Governor",1970,74,2044,30.728051391863,48.0710659898477,1
"1735","401 - BUSH HILL","FAIRFAX COUNTY",1136,583,23,"Governor",3271,218,3489,66.0849331006399,53.2558850504433,0
"1736","401 - CARPERS VALLEY","FREDERICK COUNTY",455,759,12,"Governor",2573,138,2711,37.4794069192751,47.64865915274,1
"1737","401 - CARSLEY","SURRY COUNTY",325,214,8,"Governor",1041,40,1081,60.2968460111317,52.5456292026897,1
"1738","401 - CENTRAL","ESSEX COUNTY",381,503,9,"Governor",1671,189,1860,43.0995475113122,53.44105326152,1
"1739","401 - CLINCH VALLEY","WISE COUNTY",163,705,13,"Governor",2145,124,2269,18.778801843318,41.0722610722611,1
"1740","401 - COLLINSVILLE NUMBER 1","HENRY COUNTY",116,335,4,"Governor",1077,73,1150,25.7206208425721,42.246982358403,0
"1741","401 - COURTHOUSE","APPOMATTOX COUNTY",192,589,8,"Governor",1881,98,1979,24.583866837388,41.9457735247209,1
"1742","401 - COURTHOUSE","APPOMATTOX COUNTY",192,589,8,"Governor",1390,79,1469,24.583866837388,56.7625899280576,1
"1743","401 - COURTHOUSE","APPOMATTOX COUNTY",192,589,8,"Governor",1046,48,1094,24.583866837388,75.4302103250478,1
"1744","401 - COURTHOUSE","APPOMATTOX COUNTY",192,589,8,"Governor",995,36,1031,24.583866837388,79.2964824120603,1
"1745","401 - COURTHOUSE","HALIFAX COUNTY",300,333,3,"Governor",1881,98,1979,47.39336492891,33.8118022328549,1
"1746","401 - COURTHOUSE","HALIFAX COUNTY",300,333,3,"Governor",1390,79,1469,47.39336492891,45.7553956834532,1
"1747","401 - COURTHOUSE","HALIFAX COUNTY",300,333,3,"Governor",1046,48,1094,47.39336492891,60.8030592734226,1
"1748","401 - COURTHOUSE","HALIFAX COUNTY",300,333,3,"Governor",995,36,1031,47.39336492891,63.9195979899498,1
"1749","401 - COURTHOUSE","ISLE OF WIGHT COUNTY",144,345,1,"Governor",1881,98,1979,29.4478527607362,26.0499734183945,1
"1750","401 - COURTHOUSE","ISLE OF WIGHT COUNTY",144,345,1,"Governor",1390,79,1469,29.4478527607362,35.2517985611511,1
"1751","401 - COURTHOUSE","ISLE OF WIGHT COUNTY",144,345,1,"Governor",1046,48,1094,29.4478527607362,46.8451242829828,1
"1752","401 - COURTHOUSE","ISLE OF WIGHT COUNTY",144,345,1,"Governor",995,36,1031,29.4478527607362,49.2462311557789,1
"1753","401 - COURTHOUSE","KING & QUEEN COUNTY",241,261,5,"Governor",1881,98,1979,48.00796812749,26.9537480063796,1
"1754","401 - COURTHOUSE","KING & QUEEN COUNTY",241,261,5,"Governor",1390,79,1469,48.00796812749,36.4748201438849,1
"1755","401 - COURTHOUSE","KING & QUEEN COUNTY",241,261,5,"Governor",1046,48,1094,48.00796812749,48.4703632887189,1
"1756","401 - COURTHOUSE","KING & QUEEN COUNTY",241,261,5,"Governor",995,36,1031,48.00796812749,50.9547738693467,1
"1757","401 - CUNNINGHAM","FLUVANNA COUNTY",690,1081,22,"Governor",3705,134,3839,38.961038961039,48.3940620782726,1
"1758","401 - DAWN","CAROLINE COUNTY",714,402,4,"Governor",2403,128,2531,63.9784946236559,46.608406158968,1
"1759","401 - DINWIDDIE","DINWIDDIE COUNTY",334,485,6,"Governor",1843,79,1922,40.7814407814408,44.7639717851329,0
"1760","401 - DREWRYVILLE","SOUTHAMPTON COUNTY",180,158,2,"Governor",720,34,754,53.2544378698225,47.2222222222222,0
"1761","401 - DRILL","RUSSELL COUNTY",23,41,0,"Governor",199,9,208,35.9375,32.1608040201005,1
"1762","401 - EAST PARK","SMYTH COUNTY",201,456,5,"Governor",1567,72,1639,30.5936073059361,42.2463305679643,0
"1763","401 - EAST SHENANDOAH","WARREN COUNTY",392,948,20,"Governor",3665,231,3896,29.2537313432836,37.1077762619372,1
"1764","401 - ELDORADO","CULPEPER COUNTY",266,528,8,"Governor",1849,99,1948,33.5012594458438,43.374797187669,1
"1765","401 - EVERGREEN","PRINCE WILLIAM COUNTY",579,802,21,"Governor",2920,148,3068,41.9261404779146,48.013698630137,1
"1766","401 - FAIRFIELD","ROCKBRIDGE COUNTY",140,347,4,"Governor",891,40,931,28.7474332648871,55.1066217732884,0
"1767","401 - FOREST ELEMENTARY SCHOOL","BEDFORD COUNTY",352,1003,9,"Governor",2402,119,2521,25.9778597785978,56.7860116569525,1
"1768","401 - FORT CHISWELL","WYTHE COUNTY",133,575,8,"Governor",1484,51,1535,18.7853107344633,48.2479784366577,0
"1769","401 - FOUR WEST","ORANGE COUNTY",241,756,6,"Governor",2256,115,2371,24.172517552658,44.459219858156,1
"1770","401 - FOURTH WARD FIRST PRECINCT","LYNCHBURG CITY",653,1253,24,"Governor",4194,352,4546,34.2602308499475,46.0181211254173,1
"1771","401 - FOURTH WARD FIRST PRECINCT","LYNCHBURG CITY",653,1253,24,"Governor",2781,416,3197,34.2602308499475,69.3994965839626,1
"1772","401 - FOURTH WARD FIRST PRECINCT","PETERSBURG CITY",800,150,7,"Governor",4194,352,4546,84.2105263157895,22.8183118741059,1
"1773","401 - FOURTH WARD FIRST PRECINCT","PETERSBURG CITY",800,150,7,"Governor",2781,416,3197,84.2105263157895,34.4120819848975,1
"1774","401 - FREDERICK DOUGLASS","WINCHESTER CITY",251,212,2,"Governor",1390,174,1564,54.2116630669546,33.4532374100719,1
"1775","401 - FRIES","GRAYSON COUNTY",70,154,0,"Governor",602,28,630,31.25,37.2093023255814,0
"1776","401 - GATE CITY","SCOTT COUNTY",201,825,15,"Governor",2541,191,2732,19.5906432748538,40.9681227863046,1
"1777","401 - GLADE SPRING","WASHINGTON COUNTY",200,636,10,"Governor",1981,110,2091,23.9234449760766,42.7057041898031,0
"1778","401 - HAMPDEN","PRINCE EDWARD COUNTY",276,285,7,"Governor",1271,84,1355,49.1978609625668,44.6892210857592,1
"1779","401 - HARBOUR POINTE","CHESTERFIELD COUNTY",502,605,17,"Governor",1971,110,2081,45.3477868112014,57.0268899036022,1
"1780","401 - HARWOODS MILL","YORK COUNTY",688,1232,27,"Governor",3570,190,3760,35.8333333333333,54.5378151260504,1
"1781","401 - HAYES","GLOUCESTER COUNTY",467,761,19,"Governor",2792,109,2901,38.0293159609121,44.663323782235,1
"1782","401 - HAYSI-COLLEY","DICKENSON COUNTY",184,314,5,"Governor",1818,113,1931,36.9477911646586,27.6677667766777,0
"1783","401 - HENRY","FRANKLIN COUNTY",137,581,9,"Governor",1735,77,1812,19.0807799442897,41.9020172910663,1
"1784","401 - KEYSVILLE","CHARLOTTE COUNTY",207,384,5,"Governor",1182,47,1229,35.0253807106599,50.4230118443316,1
"1785","401 - LOW MOOR","ALLEGHANY COUNTY",95,216,2,"Governor",745,23,768,30.5466237942122,42.0134228187919,0
"1786","401 - MANQUIN","KING WILLIAM COUNTY",343,793,6,"Governor",2340,88,2428,30.193661971831,48.8034188034188,1
"1787","401 - MARS HILL","SUSSEX COUNTY",275,176,3,"Governor",968,69,1037,60.9756097560976,46.900826446281,1
"1788","401 - MARSHALL","FAUQUIER COUNTY",527,743,17,"Governor",2584,161,2745,41.496062992126,49.8065015479876,1
"1789","401 - MASSIE","PULASKI COUNTY",484,1165,18,"Governor",3162,155,3317,29.3511218920558,52.7197975964579,1
"1790","401 - MAYSVILLE","BUCKINGHAM COUNTY",253,444,2,"Governor",1611,63,1674,36.2984218077475,43.389199255121,1
"1791","401 - MEADOWS OF DAN","PATRICK COUNTY",133,303,2,"Governor",900,53,953,30.5045871559633,48.6666666666667,1
"1792","401 - MIDWAY","GREENE COUNTY",657,1035,27,"Governor",3291,269,3560,38.8297872340426,52.2333637192343,1
"1793","401 - MILLBORO","BATH COUNTY",82,211,4,"Governor",630,18,648,27.9863481228669,47.1428571428571,0
