"","rank","player_name","g_eligible","g_started","minutes","fg","fg_attempts","fg_pct","two_pts","two_attempts","two_point_pct","three","three_attempts","three_pct","free_throws","free_throws_attempts","free_throw_pct","orb","drb","rebounds","assists","steals","blocks","turnovers","fouls","points","part_url","year"
"16238",7,"Malik London",33,4,9,1.5,2.1,0.686,1.5,2.1,0.686,0,0,NA,0.6,1,0.594,0.9,1.7,2.6,0.2,0.2,0.8,0.5,1.5,3.5,"/cbb/schools/tennessee-martin/",2017
"1335",2,"Reggie Baker",32,25,31.1,4.9,12.9,0.38,3.5,8.3,0.426,1.4,4.6,0.297,2.3,2.9,0.785,1.1,3.5,4.6,1.7,0.8,0.1,1.6,2.1,13.5,"/cbb/schools/bethune-cookman/",2017
"17943",14,"Michael Donovan",12,1,4.8,0.3,1,0.333,0,0.1,0,0.3,0.9,0.364,0.2,0.2,1,0.3,0.6,0.9,0.2,0,0,0.2,0.7,1.2,"/cbb/schools/virginia-military-institute/",2015
"15318",5,"Yemi Makanjuola",28,28,17.5,2.3,4.7,0.477,2.3,4.6,0.485,0,0.1,0,2,3.2,0.611,2,3.5,5.5,0.6,0.3,0.4,1.9,3.4,6.5,"/cbb/schools/southern-illinois-edwardsville/",2016
"14713",7,"Dionte Ferguson",27,1,12.7,1.2,2.4,0.516,1.2,2.4,0.516,0,0,NA,1.3,2.4,0.53,1.3,1.9,3.1,0.1,0.3,0.6,0.7,1.6,3.7,"/cbb/schools/south-alabama/",2014
"4686",8,"Kevin Degnan",24,0,7.3,1.3,2.6,0.484,0.7,1.4,0.515,0.5,1.2,0.448,0,0.3,0.167,0.3,1.4,1.6,0.3,0.2,0.3,0.2,0.9,3.1,"/cbb/schools/fairfield/",2016
"6699",4,"Paris Burns",16,11,24.6,2.6,7.1,0.363,1.9,4.5,0.417,0.7,2.6,0.268,1.1,1.6,0.72,0.3,1.4,1.8,2.5,0.9,0.1,2.3,2.6,6.9,"/cbb/schools/illinois-chicago/",2016
"6111",10,"Niko Filipovich",22,0,5.2,0.3,1,0.261,0.2,0.3,0.667,0.1,0.8,0.118,0.5,0.6,0.923,0,0.5,0.5,0.4,0.3,0,0.5,0.8,1.2,"/cbb/schools/hawaii/",2016
"468",13,"Corey Young",13,0,4.7,0.5,1.1,0.429,0.2,0.4,0.6,0.2,0.7,0.333,0,0,NA,0.2,0.5,0.6,0,0,0,0.2,0.1,1.2,"/cbb/schools/alcorn-state/",2014
"9416",6,"Alvin Ellis",35,8,19.4,2.1,5.1,0.4,0.9,1.9,0.463,1.2,3.2,0.363,1.1,1.6,0.702,0.6,2.5,3.1,1.2,0.6,0.4,1.4,1.9,6.4,"/cbb/schools/michigan-state/",2017
"2544",8,"Alhaji Fullah",31,27,13.3,1.9,2.9,0.663,1.9,2.8,0.678,0,0.1,0,0.6,0.9,0.655,1.4,2.2,3.6,0.3,0.3,0.7,0.4,1.6,4.4,"/cbb/schools/charleston-southern/",2014
"12825",3,"Jeremy Major",31,31,32.9,4.3,11.8,0.366,2.6,7,0.367,1.7,4.8,0.365,1.4,2.8,0.488,0.9,2.2,3.1,3.9,0.8,0.2,2.1,1.7,11.7,"/cbb/schools/pepperdine/",2017
"6552",4,"Perrion Callandret",2,2,30,2.5,10.5,0.238,1,5,0.2,1.5,5.5,0.273,1.5,2,0.75,0,4.5,4.5,3.5,0,0,0.5,1.5,8,"/cbb/schools/idaho/",2017
"16779",9,"Moe McDonald",26,4,12.5,0.5,1.8,0.283,0.3,0.7,0.412,0.2,1.1,0.207,0.5,0.9,0.609,0,0.9,1,0.9,0.2,0,0.6,0.8,1.8,"/cbb/schools/texas-pan-american/",2015
"393",3,"Dirk Williams",33,30,28.7,3.7,9,0.406,1.8,3.6,0.5,1.8,5.4,0.343,1.3,1.6,0.792,0.5,2.9,3.4,1.6,0.4,0.3,1.4,1.6,10.5,"/cbb/schools/alabama-birmingham/",2017
"12696",10,"Isaiah Washington",27,0,12.6,0.7,3,0.235,0.3,0.9,0.32,0.4,2.1,0.196,0.9,1.3,0.686,0.5,1.3,1.8,0.3,0.3,0.1,0.7,1.4,2.7,"/cbb/schools/penn-state/",2016
"16176",1,"Robert Hubbs",32,31,31.6,5.3,11.4,0.467,5.2,10.6,0.491,0.1,0.8,0.154,2.9,3.5,0.838,1.3,3.3,4.6,1.7,0.7,0.2,1.5,1.8,13.7,"/cbb/schools/tennessee/",2017
"7826",3,"Kahron Ross",30,29,31.6,3.2,8.1,0.399,2.5,5.7,0.43,0.8,2.4,0.324,3.2,4,0.798,0.8,2,2.8,5.8,1.2,0.1,2.3,2.3,10.4,"/cbb/schools/lehigh/",2015
"15264",4,"Leo Vincent",32,0,21.3,2.6,6.2,0.416,1.4,2.8,0.523,1.1,3.4,0.33,1.9,2.2,0.845,0.4,1.6,2,1.1,0.8,0,1.5,1.5,8.1,"/cbb/schools/southern-illinois/",2016
