"","point.d","fg.d","three.d","ft.d","orb.d","drb.d","ast.d","stl.d","blk.d","tov.d","pf.d","g","team","loc.home","win","year"
"337",-0.7657686,-1.160003,-0.6899127,0.7146727,-0.02884217,-1.283906,-0.2084113,-0.2849011,1.17473,-0.373391,0.4045393,27,"st francis ny",0,0,2017
"338",-0.3205016,-0.512825,-0.4460863,0.1200345,-0.5923092,-0.460724,-0.3686514,-0.2849011,-1.233861,-0.9742981,-1.481038,3,"northwestern",1,0,2013
"339",0.1883748,0.3293931,0.620654,-0.7957082,0.3468025,0.4996552,1.073509,0.742438,-0.02956535,-0.373391,-1.103923,17,"texas state",0,1,2017
"340",-0.002453843,-1.089079,0.9681066,0.7384582,1.473737,-0.18633,-1.330092,-1.569075,-0.3306392,0.4278186,0.02742374,4,"charleston southern",0,1,2016
"341",1.333347,0.3205276,1.077828,1.939627,0.7224472,0.6368522,1.554229,0.2287684,-0.631713,-0.373391,-1.103923,21,"robert morris",1,1,2015
"342",0.824470444454633,1.58828747517155,0.236627498311039,-1.23574044337434,-1.15577627931723,-0.597921036142908,0.91326908910472,-0.28490113178006,1.47580373245296,-0.573693344238629,-1.10392280294884,33,"akron",0,1,2016
"343",-0.1932825,-0.415305,-1.244618,0.3935681,0.9102696,-0.04913292,-1.169852,1.256108,-0.631713,-0.7739957,0.2159815,24,"clemson",0,0,2017
"344",-0.5113303,0.1166222,-0.2022599,0.07246348,0.1589802,0.6368522,-0.3686514,-0.7985707,-1.233861,0.8284233,0.9702125,10,"mercer",0,0,2015
"345",0.3792035,-0.09614867,-0.183973,1.481756,-0.2166645,-0.18633,0.753029,1.769777,0.2715085,-1.575205,-0.3496918,32,"george washington",0,1,2017
"346",-0.7657686,-0.1848032,-1.037365,-1.562791,0.1589802,-0.323527,-0.3686514,-0.2849011,-0.02956535,0.4278186,1.724444,31,"massachusetts lowell",1,0,2017
"347",-0.447720767191857,0.799262124800941,-0.00719886149082484,0.191391105288715,-1.15577627931723,0.636852214840529,-0.0481712680012071,-1.82590986239398,0.572582282841514,2.23054004204456,0.781654772360913,30,"alabama state",0,0,2017
"348",-2.101569,-1.381639,-0.8544955,-0.6886733,-0.5923092,-1.146709,-0.8493716,-1.82591,-0.631713,2.23054,-0.161134,7,"central connecticut state",0,0,2015
